experiment_name,run_id,dataset,seed,model_variant,monitor_preset,mode,trigger_mode,weights,theta,confirm_window,acc_final,mean_acc,acc_min,candidate_count,confirmed_count,confirm_delay_mean,confirm_delay_std,MDR_win,MTD_win,MTFA_win,MTR_win,MDR_tol,MTD_tol,MTFA_tol,MTR_tol,match_tolerance,min_separation,horizon
trackG_two_stage,20260107-144838-q18_trackG_or,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,or,or,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.5,200,0.86152,0.8034036481034917,0.265625,32,32,,,0.0,887.0,1770.6666666666667,1.9962420142803459,0.75,399.0,1593.6,15.975939849624059,500,200,50000
trackG_two_stage,20260107-144838-q18_trackG_or,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,or,or,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.5,200,0.8736,0.8160904170688067,0.265625,30,30,,,0.0,855.0,1889.28,2.2096842105263157,1.0,,1628.6896551724137,,500,200,50000
trackG_two_stage,20260107-144838-q18_trackG_or,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,or,or,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.5,200,0.87744,0.8302962758211139,0.59375,30,30,,,0.0,727.0,1925.12,2.648033012379642,0.75,143.0,1718.857142857143,48.07992007992008,500,200,50000
trackG_two_stage,20260107-144838-q18_trackG_or,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,or,or,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.5,200,0.8659,0.8211502282083322,0.4375,31,31,,,0.0,743.0,1861.5384615384614,2.505435345273838,0.75,447.0,1668.9655172413793,14.934814471958651,500,200,50000
trackG_two_stage,20260107-144838-q18_trackG_or,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,or,or,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.5,200,0.86502,0.809629618703657,0.3203125,33,33,,,0.0,711.0,1728.0,2.430379746835443,0.5,327.0,1612.8,9.864220183486239,500,200,50000
trackG_two_stage,20260107-144838-q18_trackG_or,stagger_abrupt3,1,ts_drift_adapt,error_divergence_ph_meta,or,or,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.5,200,0.93212890625,0.9475155609475354,0.8958333333333334,17,17,,,0.0,47.0,3268.5714285714284,69.54407294832826,0.0,47.0,3268.5714285714284,69.54407294832826,500,200,60000
trackG_two_stage,20260107-144838-q18_trackG_or,stagger_abrupt3,2,ts_drift_adapt,error_divergence_ph_meta,or,or,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.5,200,0.92755859375,0.9351389029533608,0.25,17,17,,,0.0,79.0,3204.5714285714284,40.56419529837251,0.0,79.0,3204.5714285714284,40.56419529837251,500,200,60000
trackG_two_stage,20260107-144838-q18_trackG_or,stagger_abrupt3,3,ts_drift_adapt,error_divergence_ph_meta,or,or,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.5,200,0.9280859375,0.9491952429571927,0.84375,14,14,,,0.0,47.0,3738.6666666666665,79.54609929078013,0.0,47.0,4078.5454545454545,86.77756286266924,500,200,60000
trackG_two_stage,20260107-144838-q18_trackG_or,stagger_abrupt3,4,ts_drift_adapt,error_divergence_ph_meta,or,or,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.5,200,0.9326171875,0.9441734751547631,0.871875,16,16,,,0.0,47.0,3328.0,70.80851063829788,0.0,47.0,3328.0,70.80851063829788,500,200,60000
trackG_two_stage,20260107-144838-q18_trackG_or,stagger_abrupt3,5,ts_drift_adapt,error_divergence_ph_meta,or,or,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.5,200,0.92935546875,0.9437584962771349,0.359375,14,14,,,0.0,783.0,4066.909090909091,5.194009056078022,0.5,31.0,3728.0,240.51612903225808,500,200,60000
