track,unit,experiment_name,run_id,dataset,seed,model_variant,monitor_preset,trigger_mode,confirm_theta,confirm_window,weights,log_path,acc_final,mean_acc,acc_min,drift_flag_count,drift_events_merged,MDR_win,MTD_win,MTFA_win,MTR_win,MDR_tol,MTD_tol,MTFA_tol,MTR_tol,delay_p50,delay_p90,delay_p99,miss_rate_tol500,n_drifts
J,sample_idx,trackJ_twostage_sweep,20260108-002519-4n4_theta0.30_w3,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.3,3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260108-002519-4n4_theta0.30_w3/sea_abrupt4__ts_drift_adapt__seed5.csv,0.88418,0.8347204002180231,0.59375,31,30,0.0,695.0,1843.6923076923076,2.652794687327061,0.5,391.0,1775.4074074074074,9.081367812825613,599.0,1079.0,1187.0,0.5,4
J,sample_idx,trackJ_twostage_sweep,20260108-002519-4n4_theta0.30_w3,stagger_abrupt3,1,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.3,3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed1/20260108-002519-4n4_theta0.30_w3/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.9254296875,0.9120035982921482,0.09375,15,15,0.0,47.0,3605.3333333333335,76.70921985815603,0.0,47.0,3605.3333333333335,76.70921985815603,47.0,59.800000000000004,62.68,0.0,2
J,sample_idx,trackJ_twostage_sweep,20260108-002519-4n4_theta0.30_w3,stagger_abrupt3,2,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.3,3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed2/20260108-002519-4n4_theta0.30_w3/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.93576171875,0.9463855797011196,0.578125,12,12,0.0,79.0,4807.111111111111,60.849507735583686,0.0,79.0,4807.111111111111,60.849507735583686,79.0,91.8,94.67999999999999,0.0,2
J,sample_idx,trackJ_twostage_sweep,20260108-002519-4n4_theta0.30_w3,stagger_abrupt3,3,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.3,3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed3/20260108-002519-4n4_theta0.30_w3/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.93078125,0.9414483671908878,0.140625,15,15,0.0,47.0,3738.6666666666665,79.54609929078013,0.0,47.0,3738.6666666666665,79.54609929078013,47.0,59.800000000000004,62.68,0.0,2
J,sample_idx,trackJ_twostage_sweep,20260108-002519-4n4_theta0.30_w3,stagger_abrupt3,4,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.3,3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed4/20260108-002519-4n4_theta0.30_w3/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.9391796875,0.9564570227865462,0.578125,14,14,0.0,79.0,4020.3636363636365,50.890678941311855,0.0,79.0,4020.3636363636365,50.890678941311855,79.0,91.8,94.67999999999999,0.0,2
J,sample_idx,trackJ_twostage_sweep,20260108-002519-4n4_theta0.30_w3,stagger_abrupt3,5,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.3,3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed5/20260108-002519-4n4_theta0.30_w3/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.9291015625,0.9498502736517621,0.84375,14,14,0.0,79.0,4224.0,53.46835443037975,0.0,79.0,4224.0,53.46835443037975,79.0,117.39999999999999,126.04,0.0,2
J,sample_idx,trackJ_twostage_sweep,20260108-002650-1bk_theta0.40_w1,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260108-002650-1bk_theta0.40_w1/sea_abrupt4__ts_drift_adapt__seed1.csv,0.86494,0.822442859473775,0.6640625,31,31,0.0,727.0,1861.5384615384614,2.560575600465559,0.75,255.0,1668.9655172413793,26.179851250845164,727.0,1117.4,1190.84,0.75,4
J,sample_idx,trackJ_twostage_sweep,20260108-002650-1bk_theta0.40_w1,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260108-002650-1bk_theta0.40_w1/sea_abrupt4__ts_drift_adapt__seed2.csv,0.86214,0.8159137801618842,0.6893382352941176,30,30,0.0,887.0,1896.96,2.1386245772266066,1.0,,1635.3103448275863,,887.0,1131.8,1192.28,1.0,4
J,sample_idx,trackJ_twostage_sweep,20260108-002650-1bk_theta0.40_w1,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260108-002650-1bk_theta0.40_w1/sea_abrupt4__ts_drift_adapt__seed3.csv,0.85662,0.7844758285717557,0.296875,30,30,0.0,759.0,1881.6,2.4790513833992094,0.75,319.0,1680.0,21.065830721003135,759.0,1079.0,1187.0,0.75,4
J,sample_idx,trackJ_twostage_sweep,20260108-002650-1bk_theta0.40_w1,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260108-002650-1bk_theta0.40_w1/sea_abrupt4__ts_drift_adapt__seed4.csv,0.86548,0.8233013597246974,0.578125,31,31,0.0,615.0,1853.5384615384614,3.013883677298311,0.5,231.0,1721.142857142857,14.901669758812616,599.0,1079.0,1187.0,0.5,4
