track,unit,experiment_name,run_id,dataset,seed,group,model_variant,monitor_preset,trigger_mode,trigger_threshold,confirm_window,weights,use_severity_v2,severity_gate,severity_gate_min_streak,entropy_mode,severity_decay,freeze_baseline_steps,severity_scheduler_scale,log_path,acc_final,mean_acc,acc_min,drift_flag_count,drift_events_merged,MDR_win,MTD_win,MTFA_win,MTR_win,MDR_tol,MTD_tol,MTFA_tol,MTR_tol,recovery_W,post_mean_acc,post_mean_acc_std,post_min_acc,post_min_acc_std,recovery_time_to_pre90,recovery_time_to_pre90_std
L,sample_idx,trackL_gating_sweep,20260108-003727-lt4_v2,INSECTS_abrupt_balanced,1,v2,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed1/20260108-003727-lt4_v2/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed1.csv,0.20093855848014078,0.19811981875755116,0.15443840579710144,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.19065913450966493,0.010985012835310873,0.18976899512357848,0.011626298896051827,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003727-lt4_v2,INSECTS_abrupt_balanced,2,v2,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed2/20260108-003727-lt4_v2/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed2.csv,0.19707835827956174,0.19912828763700238,0.1676290760869565,8,8,0.2,5413.5,15018.666666666666,3.4678735260613895,1.0,,6436.571428571428,,1000,0.19072191214595946,0.006620949970529651,0.18978003464931942,0.006105192856131922,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003727-lt4_v2,INSECTS_abrupt_balanced,3,v2,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed3/20260108-003727-lt4_v2/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed3.csv,0.20733438038110016,0.1987116533699133,0.0859375,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.19727068197369227,0.00769050063304528,0.19666688711113617,0.00806186511195488,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003727-lt4_v2,INSECTS_abrupt_balanced,4,v2,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed4/20260108-003727-lt4_v2/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed4.csv,0.18235661437735348,0.19093326325472887,0.15828804347826086,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18541764236388594,0.0030431922455446854,0.18466317881400013,0.002821007153442389,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003727-lt4_v2,INSECTS_abrupt_balanced,5,v2,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed5/20260108-003727-lt4_v2/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed5.csv,0.19864892992979735,0.19619169717297708,0.15891077898550723,8,8,0.2,5605.5,14933.333333333334,3.3300627360033297,1.0,,6400.0,,1000,0.18892413047951825,0.005887883469704377,0.1881174207632333,0.006244376010890693,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003727-lt4_v2,INSECTS_abrupt_balanced,6,v2,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed6/20260108-003727-lt4_v2/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed6.csv,0.19529963857929494,0.19613182379259816,0.1568161231884058,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18851515970200636,0.0036428544210950044,0.18765789988904757,0.004278174581247059,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003727-lt4_v2,INSECTS_abrupt_balanced,7,v2,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed7/20260108-003727-lt4_v2/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed7.csv,0.20290650368043597,0.19705396496048472,0.0703125,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.1947282681319582,0.004412477540322535,0.1939270425998337,0.004037852721690687,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003727-lt4_v2,INSECTS_abrupt_balanced,8,v2,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed8/20260108-003727-lt4_v2/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed8.csv,0.19668098472950216,0.19538272080992272,0.1640625,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18695818841982886,0.010106456657078816,0.1858446237727078,0.009602031698250472,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003727-lt4_v2,INSECTS_abrupt_balanced,9,v2,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed9/20260108-003727-lt4_v2/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed9.csv,0.19649175922947376,0.193337155476448,0.15625,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.1861692681313379,0.007906223133123622,0.18545285914156015,0.00795420624598148,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003727-lt4_v2,INSECTS_abrupt_balanced,10,v2,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed10/20260108-003727-lt4_v2/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed10.csv,0.19620792097943118,0.19210604816615118,0.15896739130434784,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18875671554629053,0.00123520801713366,0.18784470979684056,0.0017445645037792554,178.4,81.87062965435163
