dataset_name,model_variant,seed,signal_name,detector_type,params,value_scale,n_gt_drifts,n_detected,MDR,MTD,MTFA,MTR
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",10.0,4,7,0.0,3287.0,2752.0,0.8372376026772133
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",10.0,4,0,1.0,,,
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",10.0,4,0,1.0,,,
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",25.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",25.0,4,25,0.0,1175.0,2316.8,1.971744680851064
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",25.0,4,23,0.0,1191.0,2599.1111111111113,2.182293124358616
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",25.0,4,7,0.0,3287.0,2752.0,0.8372376026772133
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",25.0,4,1,0.75,3407.0,,
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",50.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",50.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",50.0,4,25,0.0,1175.0,2316.8,1.971744680851064
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",50.0,4,21,0.0,1047.0,2804.0,2.6781279847182424
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",50.0,4,7,0.0,3287.0,2752.0,0.8372376026772133
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",100.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",100.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",100.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",100.0,4,25,0.0,1335.0,2326.4,1.742621722846442
sea_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",100.0,4,21,0.0,1047.0,2804.0,2.6781279847182424
sea_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.1}",1.0,4,1,0.75,8671.0,,
sea_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.05}",1.0,4,1,0.75,6863.0,,
sea_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.01}",1.0,4,1,0.75,959.0,,
sea_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.005}",1.0,4,1,0.75,3007.0,,
