dataset_name,model_variant,seed,signal_name,detector_type,params,value_scale,n_gt_drifts,n_detected,MDR,MTD,MTFA,MTR
sea_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.01}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.005}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.001}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,1,teacher_entropy,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,1,teacher_entropy,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.01}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.005}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.001}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,teacher_entropy,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,teacher_entropy,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.01}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.005}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.001}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,teacher_entropy,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,teacher_entropy,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.01}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.005}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.001}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,teacher_entropy,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,teacher_entropy,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.01}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.005}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.001}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,2,teacher_entropy,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,2,teacher_entropy,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.01}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.005}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.001}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,3,teacher_entropy,adwin,"{""delta"": 0.1}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,3,teacher_entropy,adwin,"{""delta"": 0.05}",1.0,4,0,1.0,,,
