dataset,model,seed,acc_final,acc_max,kappa_final,drift_events,total_steps,seen_samples,MDR,MTD,MTFA,MTR,n_detected
INSECTS_abrupt_balanced,baseline_student,1.0,0.2209018487331353,0.233657525510204,0.0650814352091302,8.0,207.0,52847.0,0.2,5349.5,14933.333333333334,3.4894226874785805,8.0
INSECTS_abrupt_balanced,mean_teacher,1.0,0.2008250231801237,0.2122395833333333,0.0409889186097622,8.0,207.0,52847.0,0.2,5349.5,14933.333333333334,3.4894226874785805,8.0
INSECTS_abrupt_balanced,ts_drift_adapt,1.0,0.2121974757318296,0.2182348901098901,0.0546362028223729,8.0,207.0,52847.0,0.2,5349.5,14933.333333333334,3.4894226874785805,8.0
sea_abrupt4,baseline_student,1.0,0.86918,0.86918,0.7018430060634292,31.0,782.0,50000.0,0.0,663.0,1858.4615384615386,2.803109409444251,31.0
sea_abrupt4,mean_teacher,1.0,0.87096,0.87096,0.7053768073276634,32.0,782.0,50000.0,0.0,727.0,1792.5925925925926,2.465739467114983,32.0
sea_abrupt4,ts_drift_adapt,1.0,0.86606,0.86606,0.6922367439706693,30.0,782.0,50000.0,0.0,903.0,1899.52,2.103565891472868,30.0
sine_abrupt4,baseline_student,1.0,0.68326,0.8981370192307693,0.3650497416913136,0.0,782.0,50000.0,1.0,,,,0.0
sine_abrupt4,mean_teacher,1.0,0.6755,0.9254807692307692,0.3499538583827079,0.0,782.0,50000.0,1.0,,,,0.0
sine_abrupt4,ts_drift_adapt,1.0,0.7578,0.9250801282051282,0.5154722986542777,0.0,782.0,50000.0,1.0,,,,0.0
stagger_abrupt3,baseline_student,1.0,0.881,0.9947916666666666,0.7534331010384602,0.0,938.0,60000.0,1.0,,,,0.0
stagger_abrupt3,mean_teacher,1.0,0.8704833333333334,0.9915364583333334,0.7306119447627404,0.0,938.0,60000.0,1.0,,,,0.0
stagger_abrupt3,ts_drift_adapt,1.0,0.8727333333333334,0.991386217948718,0.7357817807194268,0.0,938.0,60000.0,1.0,,,,0.0
