dataset,model,seed,acc_final,acc_max,kappa_final,drift_events,total_steps,seen_samples,MDR,MTD,MTFA,MTR,n_detected
sea_abrupt4,ts_drift_adapt_severity_s1p0,1,0.85598,0.85598,0.6675006930724339,31,782,50000,0.0,695.0,1856.0,2.6705035971223023,31
sea_abrupt4,ts_drift_adapt_severity_s1p0,2,0.87318,0.87318,0.7077319514547241,29,782,50000,0.0,663.0,1861.3333333333333,2.8074409250879837,29
sea_abrupt4,ts_drift_adapt_severity_s1p0,3,0.8774,0.8774007682458387,0.7202989288087768,31,782,50000,0.0,775.0,1811.6923076923076,2.337667493796526,31
sea_abrupt4,ts_drift_adapt_severity_s1p0,4,0.85988,0.85988,0.6750539542158349,30,782,50000,0.0,743.0,1884.16,2.5358815612382237,30
sea_abrupt4,ts_drift_adapt_severity_s1p0,5,0.87468,0.87468,0.7140651625799384,31,782,50000,0.0,743.0,1762.4615384615386,2.3720882078890155,31
sine_abrupt4,ts_drift_adapt_severity_s1p0,1,0.64928,0.9143629807692308,0.2998957037829977,31,782,50000,0.0,663.0,1860.923076923077,2.8068221371388793,31
sine_abrupt4,ts_drift_adapt_severity_s1p0,2,0.63016,0.9114583333333334,0.2603713112965017,31,782,50000,0.0,647.0,1861.5384615384614,2.8771846391630005,31
sine_abrupt4,ts_drift_adapt_severity_s1p0,3,0.64512,0.9372996794871796,0.2904831417778833,29,782,50000,0.0,647.0,1957.3333333333333,3.0252447192168983,29
sine_abrupt4,ts_drift_adapt_severity_s1p0,4,0.67632,0.9100560897435898,0.3516873434499592,31,782,50000,0.0,647.0,1861.5384615384614,2.8771846391630005,31
sine_abrupt4,ts_drift_adapt_severity_s1p0,5,0.63298,0.8889222756410257,0.2646595203598649,31,782,50000,0.0,679.0,1804.3076923076924,2.6573014614251727,31
stagger_abrupt3,ts_drift_adapt_severity_s1p0,1,0.9324609375,0.9938401442307692,0.8585016119136385,16,800,51200,0.0,47.0,3559.3846153846152,75.7315875613748,16
stagger_abrupt3,ts_drift_adapt_severity_s1p0,2,0.93759765625,0.9945412660256412,0.8688806505679405,13,800,51200,0.0,79.0,4390.4,55.574683544303795,13
stagger_abrupt3,ts_drift_adapt_severity_s1p0,3,0.93462890625,0.9954427083333334,0.86321574759612,14,800,51200,0.0,47.0,4072.7272727272725,86.65377176015474,14
stagger_abrupt3,ts_drift_adapt_severity_s1p0,4,0.93416015625,0.985977564102564,0.8619399473006765,12,800,51200,0.0,79.0,4807.111111111111,60.849507735583686,12
stagger_abrupt3,ts_drift_adapt_severity_s1p0,5,0.92732421875,0.9797676282051282,0.8466393216260302,16,800,51200,0.0,79.0,3332.923076923077,42.18889970788705,16
