dataset_name,n_drifts_used,corr_delta_error__drop_min_acc,corr_severity_manual__drop_min_acc,corr_severity_lr__drop_min_acc
sea_abrupt4,53,0.1417323199291835,0.031387229604477505,0.054614783942336355
sine_abrupt4,20,0.7330397696476468,0.7955673017912204,0.8058898870378065
stagger_abrupt3,10,0.3601037651588385,0.4888274957144093,0.46434176438618785
ALL,83,0.780699993518021,0.8106624746615925,0.8110326368515314
