dataset_name,model_variant,seed,run_id,labeled_ratio,train_samples,train_labeled_samples,val_samples,test_samples,best_epoch,best_val_acc,test_acc,max_epochs,batch_size,optimizer,lr,weight_decay,hidden_dim,num_layers,dropout,activation,use_batchnorm
Airlines,tabular_mlp_baseline,2,20251204-221213-c1r_phase0_mlp_full_supervised,1.0,323630,323630,107876,107876,49,0.6267381067151173,0.5951462790611443,50,1024,AdamW,0.001,1e-05,512,4,0.2,relu,True
Airlines,tabular_mlp_baseline,1,20251204-221213-c1r_phase0_mlp_full_supervised,1.0,323630,323630,107876,107876,38,0.6292965997997702,0.5952389780859505,50,1024,AdamW,0.001,1e-05,512,4,0.2,relu,True
Airlines,tabular_mlp_baseline,1,20251204-215634-vvg_phase0_mlp_full_supervised,1.0,323630,323630,107876,107876,38,0.6292965997997702,0.5952389780859505,50,1024,AdamW,0.001,1e-05,512,4,0.2,relu,True
Airlines,tabular_mlp_baseline,3,20251204-221213-c1r_phase0_mlp_full_supervised,1.0,323630,323630,107876,107876,42,0.6278783047202343,0.5963235566761838,50,1024,AdamW,0.001,1e-05,512,4,0.2,relu,True
Electricity,tabular_mlp_baseline,2,20251204-221213-smm_phase0_mlp_full_supervised,1.0,27187,27187,9062,9062,5,0.6630986537188258,0.7167291988523504,50,1024,AdamW,0.001,1e-05,512,4,0.2,relu,True
Electricity,tabular_mlp_baseline,1,20251204-221213-smm_phase0_mlp_full_supervised,1.0,27187,27187,9062,9062,6,0.6698300595894946,0.6963142794085191,50,1024,AdamW,0.001,1e-05,512,4,0.2,relu,True
Electricity,tabular_mlp_baseline,3,20251204-221213-smm_phase0_mlp_full_supervised,1.0,27187,27187,9062,9062,1,0.6521739130434783,0.7099977929816818,50,1024,AdamW,0.001,1e-05,512,4,0.2,relu,True
