step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,monitor_severity,drift_severity_raw,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,256,255,Electricity,uspds_csv,ts_drift_adapt_severity_s2p0,2,0.4453125,-0.009273141207174191,0.5833333333333334,0.6616924405097961,0.002914806827902794,0,0.0,0.0,0.0,mild_drift,0.980075,0.000575,0.6299999999999999,0.8775,1764759495.679566,0.7900188565254211,0.011716521345078945
2,512,511,Electricity,uspds_csv,ts_drift_adapt_severity_s2p0,2,0.466796875,-0.009475387104229259,0.5833333333333334,0.6676454544067383,0.003174213692545891,0,0.0,0.0,0.0,mild_drift,0.9726125,0.0006125,0.595,0.86625,1764759495.6889324,0.7784392833709717,0.012610034085810184
3,768,767,Electricity,uspds_csv,ts_drift_adapt_severity_s2p0,2,0.4921875,-0.0018798627231920207,0.5,0.6639043092727661,0.00584361283108592,0,0.0,0.0,0.0,mild_drift,0.9688812499999999,0.0006312500000000001,0.5774999999999999,0.860625,1764759495.698092,0.710465669631958,0.023129424080252647
4,1024,1023,Electricity,uspds_csv,ts_drift_adapt_severity_s2p0,2,0.501953125,0.023879659673729382,0.4166666666666667,0.6679219603538513,0.007197887171059847,0,0.0,0.0,0.0,mild_drift,0.9670156249999999,0.0006406250000000001,0.5687499999999999,0.8578125,1764759495.707079,0.6816935539245605,0.02860923856496811
5,1280,1279,Electricity,uspds_csv,ts_drift_adapt_severity_s2p0,2,0.52421875,0.09572641640759118,0.5,0.6662502884864807,0.009923484176397324,0,0.0,0.0,0.0,mild_drift,0.9660828124999999,0.0006453125,0.5643749999999998,0.85640625,1764759495.7162364,0.6775889992713928,0.03948194161057472
6,1536,1535,Electricity,uspds_csv,ts_drift_adapt_severity_s2p0,2,0.546875,0.13605772028161925,0.5,0.6692427396774292,0.01298312284052372,0,0.0,0.0,0.0,mild_drift,0.9656164062499999,0.00064765625,0.5621874999999998,0.855703125,1764759495.7255623,0.6281641125679016,0.052007075399160385
7,1792,1791,Electricity,uspds_csv,ts_drift_adapt_severity_s2p0,2,0.5446428571428571,0.10285327937547623,0.4166666666666667,0.672094464302063,0.015098845586180687,0,0.0,0.0,0.0,mild_drift,0.9653832031249999,0.0006488281250000001,0.56109375,0.8553515625,1764759495.7348018,0.6427047252655029,0.060775868594646454
8,2048,2047,Electricity,uspds_csv,ts_drift_adapt_severity_s2p0,2,0.56298828125,0.11714783881937019,0.3333333333333333,0.6724938750267029,0.020184285938739777,0,0.0,0.0,0.0,mild_drift,0.9652666015625,0.0006494140625,0.560546875,0.85517578125,1764759495.744143,0.6648972034454346,0.08171918243169785
9,2304,2303,Electricity,uspds_csv,ts_drift_adapt_severity_s2p0,2,0.5625,0.09747058969831138,0.4166666666666667,0.6752755641937256,0.02346889302134514,0,0.0,0.0,0.0,mild_drift,0.96520830078125,0.00064970703125,0.5602734375,0.855087890625,1764759495.7527518,0.6987762451171875,0.09558272361755371
10,2560,2559,Electricity,uspds_csv,ts_drift_adapt_severity_s2p0,2,0.5609375,0.08074413516905062,0.4166666666666667,0.6784959435462952,0.02075151540338993,0,0.0,0.0,0.0,mild_drift,0.965179150390625,0.0006498535156250001,0.5601367187499999,0.8550439453125,1764759495.7620149,0.7066523432731628,0.08465402573347092
