dataset,model,seed,acc_final,acc_max,kappa_final,drift_events,total_steps,seen_samples,MDR,MTD,MTFA,MTR,n_detected
sea_abrupt4,ts_drift_adapt,1,0.84326,0.84326,0.6352102346582104,0,782,50000,1.0,,,,0
sea_abrupt4,ts_drift_adapt,2,0.86678,0.86678,0.6888939638161589,0,782,50000,1.0,,,,0
sea_abrupt4,ts_drift_adapt,3,0.85766,0.85766,0.6733843239895335,0,782,50000,1.0,,,,0
sea_abrupt4,ts_drift_adapt,4,0.84802,0.84802,0.6491884365269931,0,782,50000,1.0,,,,0
sea_abrupt4,ts_drift_adapt,5,0.84852,0.84852,0.6462321011565968,0,782,50000,1.0,,,,0
stagger_abrupt3,ts_drift_adapt,1,0.85107421875,0.9900340544871796,0.6784479271835843,0,800,51200,1.0,,,,0
stagger_abrupt3,ts_drift_adapt,2,0.8464453125,0.988631810897436,0.6672568163853163,0,800,51200,1.0,,,,0
stagger_abrupt3,ts_drift_adapt,3,0.85197265625,0.984825721153846,0.6811239455300169,0,800,51200,1.0,,,,0
stagger_abrupt3,ts_drift_adapt,4,0.862421875,0.9893830128205128,0.7033429524268264,0,800,51200,1.0,,,,0
stagger_abrupt3,ts_drift_adapt,5,0.85806640625,0.993790064102564,0.6916724925948524,0,800,51200,1.0,,,,0
