track,phase,group,dataset,base_dataset_name,dataset_kind,seed,run_id,log_path,horizon,confirm_rule,perm_stat,perm_alpha,perm_pre_n,perm_post_n,perm_side,perm_n_perm,delta_k,acc_final,confirm_rate_per_10k,MTFA_win,miss_tol500,conf_P90
AL,stability,P_perm_vote_score_a0.025_pre500_post10_n5,sea_nodrift,sea_abrupt4,nodrift,1,20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5__sea_nodrift,logs_v15p3_s1/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed1/20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5/sea_nodrift__ts_drift_adapt__seed1.csv,50000,perm_test,vote_score,0.025,500,10,one_sided_pos,200,N/A,0.8972,29.2,338.53793103448277,,
AL,stability,P_perm_vote_score_a0.025_pre500_post10_n5,sea_nodrift,sea_abrupt4,nodrift,2,20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5__sea_nodrift,logs_v15p3_s1/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed2/20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5/sea_nodrift__ts_drift_adapt__seed2.csv,50000,perm_test,vote_score,0.025,500,10,one_sided_pos,200,N/A,0.88462,29.6,335.23809523809524,,
AL,stability,P_perm_vote_score_a0.025_pre500_post10_n5,sea_nodrift,sea_abrupt4,nodrift,3,20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5__sea_nodrift,logs_v15p3_s1/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed3/20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5/sea_nodrift__ts_drift_adapt__seed3.csv,50000,perm_test,vote_score,0.025,500,10,one_sided_pos,200,N/A,0.89484,28.2,352.0,,
AL,stability,P_perm_vote_score_a0.025_pre500_post10_n5,sea_nodrift,sea_abrupt4,nodrift,4,20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5__sea_nodrift,logs_v15p3_s1/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed4/20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5/sea_nodrift__ts_drift_adapt__seed4.csv,50000,perm_test,vote_score,0.025,500,10,one_sided_pos,200,N/A,0.89204,28.8,345.06293706293707,,
AL,stability,P_perm_vote_score_a0.025_pre500_post10_n5,sea_nodrift,sea_abrupt4,nodrift,5,20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5__sea_nodrift,logs_v15p3_s1/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed5/20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5/sea_nodrift__ts_drift_adapt__seed5.csv,50000,perm_test,vote_score,0.025,500,10,one_sided_pos,200,N/A,0.90138,27.6,358.3065693430657,,
AL,stability,P_perm_vote_score_a0.025_pre500_post10_n5,sea_nodrift,sea_abrupt4,nodrift,6,20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5__sea_nodrift,logs_v15p3_s1/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed6/20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5/sea_nodrift__ts_drift_adapt__seed6.csv,50000,perm_test,vote_score,0.025,500,10,one_sided_pos,200,N/A,0.88626,28.8,344.61538461538464,,
AL,stability,P_perm_vote_score_a0.025_pre500_post10_n5,sea_nodrift,sea_abrupt4,nodrift,7,20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5__sea_nodrift,logs_v15p3_s1/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed7/20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5/sea_nodrift__ts_drift_adapt__seed7.csv,50000,perm_test,vote_score,0.025,500,10,one_sided_pos,200,N/A,0.89188,28.0,354.0719424460432,,
AL,stability,P_perm_vote_score_a0.025_pre500_post10_n5,sea_nodrift,sea_abrupt4,nodrift,8,20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5__sea_nodrift,logs_v15p3_s1/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed8/20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5/sea_nodrift__ts_drift_adapt__seed8.csv,50000,perm_test,vote_score,0.025,500,10,one_sided_pos,200,N/A,0.8878,28.8,345.1748251748252,,
AL,stability,P_perm_vote_score_a0.025_pre500_post10_n5,sea_nodrift,sea_abrupt4,nodrift,9,20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5__sea_nodrift,logs_v15p3_s1/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed9/20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5/sea_nodrift__ts_drift_adapt__seed9.csv,50000,perm_test,vote_score,0.025,500,10,one_sided_pos,200,N/A,0.87236,30.0,330.73825503355704,,
AL,stability,P_perm_vote_score_a0.025_pre500_post10_n5,sea_nodrift,sea_abrupt4,nodrift,10,20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5__sea_nodrift,logs_v15p3_s1/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed10/20260113-004228-gsq_P_perm_vote_score_a0.025_pre500_post10_n5/sea_nodrift__ts_drift_adapt__seed10.csv,50000,perm_test,vote_score,0.025,500,10,one_sided_pos,200,N/A,0.88816,28.4,348.59574468085106,,
