track,phase,group,dataset,base_dataset_name,dataset_kind,seed,run_id,log_path,horizon,confirm_rule,perm_stat,perm_alpha,perm_pre_n,perm_post_n,perm_side,perm_n_perm,delta_k,acc_final,confirm_rate_per_10k,MTFA_win,miss_tol500,conf_P90
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,1,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed1/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed1.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88724,29.2,341.1862068965517,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,2,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed2/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed2.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88002,29.6,337.4149659863946,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,3,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed3/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed3.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88872,27.6,362.04379562043795,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,4,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed4/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed4.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.89154,28.4,351.3191489361702,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,5,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed5/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed5.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88768,28.8,345.06293706293707,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,6,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed6/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed6.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88484,29.2,342.5103448275862,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,7,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed7/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed7.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.89064,28.2,352.45714285714286,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,8,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed8/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed8.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88418,29.2,341.1862068965517,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,9,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed9/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed9.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88892,29.6,337.9591836734694,,
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,nodrift,10,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed10/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed10.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88764,28.8,347.4125874125874,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,1,20260113-004229-bzy_A_weighted_n5__sine_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed1/20260113-004229-bzy_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed1.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9176,26.0,381.44,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,2,20260113-004229-bzy_A_weighted_n5__sine_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed2/20260113-004229-bzy_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed2.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9112,26.0,378.88,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,3,20260113-004229-bzy_A_weighted_n5__sine_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed3/20260113-004229-bzy_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed3.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9105,25.0,392.0,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,4,20260113-004229-bzy_A_weighted_n5__sine_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed4/20260113-004229-bzy_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed4.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9261,22.0,451.04761904761904,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,5,20260113-004229-bzy_A_weighted_n5__sine_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed5/20260113-004229-bzy_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed5.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9005,27.0,371.6923076923077,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,6,20260113-004229-bzy_A_weighted_n5__sine_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed6/20260113-004229-bzy_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed6.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8983,25.0,389.3333333333333,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,7,20260113-004229-bzy_A_weighted_n5__sine_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed7/20260113-004229-bzy_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed7.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9322,23.0,416.0,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,8,20260113-004229-bzy_A_weighted_n5__sine_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed8/20260113-004229-bzy_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed8.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9145,24.0,411.82608695652175,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,9,20260113-004229-bzy_A_weighted_n5__sine_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed9/20260113-004229-bzy_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed9.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9347,25.0,368.0,,
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,nodrift,10,20260113-004229-bzy_A_weighted_n5__sine_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed10/20260113-004229-bzy_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed10.csv,10000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9129,24.0,420.17391304347825,,
AL,stability,A_weighted_n5,sea_abrupt4,sea_abrupt4,drift,1,20260113-004229-bzy_A_weighted_n5__sea_abrupt4,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_abrupt4/ts_drift_adapt/seed1/20260113-004229-bzy_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.87912,,,0.0,269.40000000000003
AL,stability,A_weighted_n5,sea_abrupt4,sea_abrupt4,drift,2,20260113-004229-bzy_A_weighted_n5__sea_abrupt4,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_abrupt4/ts_drift_adapt/seed2/20260113-004229-bzy_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed2.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8788,,,0.0,266.2
AL,stability,A_weighted_n5,sea_abrupt4,sea_abrupt4,drift,3,20260113-004229-bzy_A_weighted_n5__sea_abrupt4,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_abrupt4/ts_drift_adapt/seed3/20260113-004229-bzy_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed3.csv,50000,weighted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.86862,,,0.0,288.6
