dataset_name,model_variant,seed,mean_acc,final_acc,mean_drop_min_acc,max_drop_min_acc,mean_drift_severity,n_valid_drifts,n_true_drifts
sea_abrupt4,ts_drift_adapt,1,0.8297931348332784,0.8689802676145674,-0.0003365402696417774,0.0002456608652666725,0.0,4,4
sea_abrupt4,ts_drift_adapt,2,0.8236327791984969,0.8664113180302505,-0.0005618497341440265,-0.00011436298139444467,0.0,4,4
sea_abrupt4,ts_drift_adapt,3,0.82229458659991,0.8658157517427003,1.5477045143180712e-05,0.0010852396986444912,0.0,4,4
sea_abrupt4,ts_drift_adapt,4,0.8251896305514007,0.860627689439655,-0.000323481259646069,0.00021331826683279598,0.0,4,4
sea_abrupt4,ts_drift_adapt,5,0.8171813857317136,0.8661732048844243,-0.0003185126286887052,-0.00011827855884161131,0.0,4,4
sea_abrupt4,ts_drift_adapt_severity_s1p0,1,0.8169612582189533,0.8463937117734099,0.0002654346876369562,0.0021578218765198054,0.014774950336797951,4,4
sea_abrupt4,ts_drift_adapt_severity_s1p0,2,0.8216697278755841,0.8651742749634397,-0.0007611664588518807,-0.00028282090559950124,0.012604290044852366,4,4
sea_abrupt4,ts_drift_adapt_severity_s1p0,3,0.8342585427696516,0.8690409401682245,0.00010191562794728548,0.0015361081363376439,0.021198224064430084,4,4
sea_abrupt4,ts_drift_adapt_severity_s1p0,4,0.8128256007220487,0.8504995593531735,-0.000353109764780396,-2.266432785458239e-05,0.010023686971528452,4,4
sea_abrupt4,ts_drift_adapt_severity_s1p0,5,0.8245748061268832,0.8650993358670973,3.423533930874134e-06,0.0005484163410581777,0.02392002849767951,4,4
sine_abrupt4,ts_drift_adapt,1,0.7449398892586536,0.6592062014520866,0.015645098854447786,0.042415004980839166,0.0,4,4
sine_abrupt4,ts_drift_adapt,2,0.7201371345099289,0.627610839895925,0.013588525730181794,0.03549733763120699,0.0,4,4
sine_abrupt4,ts_drift_adapt,3,0.7294584126482007,0.6500653550002738,0.015319519410712606,0.04067969233236035,0.0,4,4
sine_abrupt4,ts_drift_adapt,4,0.7186564534787693,0.6520831433849051,0.01513699849533931,0.042166715479330485,0.0,4,4
sine_abrupt4,ts_drift_adapt,5,0.6990302833960347,0.6340478120249874,0.01304982262766341,0.034759407516688046,0.0,4,4
sine_abrupt4,ts_drift_adapt_severity_s1p0,1,0.7274042126340344,0.646553598196217,0.01552499377277991,0.041153773140908845,0.03988890559708742,4,4
sine_abrupt4,ts_drift_adapt_severity_s1p0,2,0.720260644093174,0.6317951301336422,0.01333485330061851,0.033303726515133136,0.0497123797321781,4,4
sine_abrupt4,ts_drift_adapt_severity_s1p0,3,0.7217504133874119,0.6295272337765224,0.014884797319291876,0.04015403133392059,0.05058609587545109,4,4
sine_abrupt4,ts_drift_adapt_severity_s1p0,4,0.7371004389351817,0.6675421548442978,0.015379766316160698,0.03987187160441197,0.03802096124297952,4,4
sine_abrupt4,ts_drift_adapt_severity_s1p0,5,0.6991935828486929,0.6378356823101732,0.013390815283857854,0.03456119259205981,0.034194709065455624,4,4
stagger_abrupt3,ts_drift_adapt,1,0.9551245826446507,0.9328976746788221,0.008692607760488358,0.013222131052925468,0.0,2,2
stagger_abrupt3,ts_drift_adapt,2,0.9403489876789364,0.928025879376369,0.009068507389327685,0.013610012087843293,0.0,2,2
stagger_abrupt3,ts_drift_adapt,3,0.9482917745447054,0.9295247675018604,0.00882085306735958,0.013349601763823715,0.0,2,2
stagger_abrupt3,ts_drift_adapt,4,0.933844418155724,0.929933371856049,0.008732498670463995,0.013181104772278629,0.0,2,2
stagger_abrupt3,ts_drift_adapt,5,0.9563621264936308,0.9368760312012099,0.008943750724806965,0.013260021373478481,0.0,2,2
stagger_abrupt3,ts_drift_adapt_severity_s1p0,1,0.9509563812266489,0.9301813803586608,0.008591838822368414,0.013203509383835299,0.03414787465048484,2,2
stagger_abrupt3,ts_drift_adapt_severity_s1p0,2,0.9553403548401072,0.936108581319379,0.009288721443637682,0.01391262467754506,0.06096490561612367,2,2
stagger_abrupt3,ts_drift_adapt_severity_s1p0,3,0.9555060320370113,0.9343793644371658,0.008893674874438096,0.013554813090886353,0.040201239698164096,2,2
stagger_abrupt3,ts_drift_adapt_severity_s1p0,4,0.9386575711359083,0.9336092493292537,0.008795155729328319,0.013210272250803956,0.06666665531357037,2,2
stagger_abrupt3,ts_drift_adapt_severity_s1p0,5,0.9272582707835416,0.9253569097829625,0.008569147961643375,0.012691255542231605,0.045536014984313436,2,2
