dataset,model,seed,acc_final,acc_max,kappa_final,drift_events,total_steps,seen_samples,MDR,MTD,MTFA,MTR,n_detected
sea_abrupt4,ts_drift_adapt,1,0.86542,0.86542,0.6911666082650743,31,782,50000,0.0,679.0,1856.0,2.7334315169366716,31
sea_abrupt4,ts_drift_adapt,2,0.878,0.878,0.7171433717431923,29,782,50000,0.0,727.0,1893.3333333333333,2.6043099495644197,29
sea_abrupt4,ts_drift_adapt,3,0.87298,0.87298,0.7092206848802906,30,782,50000,0.0,727.0,1896.96,2.6092984869326,30
sea_abrupt4,ts_drift_adapt,4,0.86792,0.86792,0.697349744321944,30,782,50000,0.0,631.0,1884.16,2.985990491283677,30
sea_abrupt4,ts_drift_adapt,5,0.87618,0.87618,0.7158578501087676,29,782,50000,0.0,871.0,1954.6666666666667,2.2441637964026024,29
stagger_abrupt3,ts_drift_adapt,1,0.930546875,0.9883814102564102,0.8546711218931661,12,800,51200,0.0,47.0,4807.111111111111,102.27895981087471,12
stagger_abrupt3,ts_drift_adapt,2,0.93455078125,0.9928886217948718,0.8624467463300612,11,800,51200,0.0,79.0,5608.0,70.9873417721519,11
stagger_abrupt3,ts_drift_adapt,3,0.92998046875,0.9930889423076924,0.853141519028816,14,800,51200,0.0,47.0,4084.3636363636365,86.90135396518376,14
stagger_abrupt3,ts_drift_adapt,4,0.92943359375,0.9925881410256412,0.8514550826230995,12,800,51200,0.0,47.0,4807.111111111111,102.27895981087471,12
stagger_abrupt3,ts_drift_adapt,5,0.92736328125,0.9925881410256412,0.8465514708214882,13,800,51200,0.0,79.0,4851.2,61.40759493670886,13
