dataset_name,preset,MDR_mean,MDR_std,MTD_mean,MTD_std,MTFA_mean,MTFA_std,MTR_mean,MTR_std,n_detected_mean,n_detected_std,n_false_alarms_mean,n_false_alarms_std,n_missed_drifts_mean,n_missed_drifts_std
sea_abrupt4,all_signals_ph_meta,0.6426767676767676,0.20080283461634754,348.0615384615385,78.29198119556452,1763.05874053325,205.06110654012537,13.418773878135017,5.438051345432812,3.3333333333333335,4.802776974487434,27.333333333333332,4.676180777800049,5.5,7.148426400264607
sea_abrupt4,divergence_only_ph_meta,0.875,0.13693063937629152,399.0,64.0,18545.0,1221.8805178903542,177.2531328320802,,0.5,0.5477225575051661,0.3333333333333333,0.5163977794943223,8.333333333333334,12.094075684675811
sea_abrupt4,entropy_divergence_ph_meta,0.875,0.13693063937629152,399.0,64.0,18545.0,1221.8805178903542,177.2531328320802,,0.5,0.5477225575051661,0.3333333333333333,0.5163977794943223,8.333333333333334,12.094075684675811
sea_abrupt4,entropy_only_ph_meta,1.0,0.0,,,,,,,0.0,0.0,0.0,0.0,8.833333333333334,11.839200423452027
sea_abrupt4,error_divergence_ph_meta,0.6426767676767676,0.20080283461634754,348.0615384615385,78.29198119556452,1763.05874053325,205.06110654012537,13.418773878135017,5.438051345432812,3.3333333333333335,4.802776974487434,27.333333333333332,4.676180777800049,5.5,7.148426400264607
sea_abrupt4,error_entropy_ph_meta,0.7260101010101011,0.1686804420235889,338.46153846153845,85.55647983994871,1772.205100686507,196.939914346767,18.221421862049255,6.427424926239758,3.0,4.9396356140913875,27.166666666666668,4.535048695071164,5.833333333333333,6.968978882638881
sea_abrupt4,error_only_ph_meta,0.7260101010101011,0.1686804420235889,338.46153846153845,85.55647983994871,1772.205100686507,196.939914346767,18.221421862049255,6.427424926239758,3.0,4.9396356140913875,27.166666666666668,4.535048695071164,5.833333333333333,6.968978882638881
sine_abrupt4,all_signals_ph_meta,0.6,0.13693063937629152,232.6,109.89449485756782,1655.4117569786536,48.90688652335214,39.34404692013568,55.56236764777231,1.6,0.5477225575051661,30.0,0.7071067811865476,2.4,0.5477225575051661
sine_abrupt4,divergence_only_ph_meta,0.9,0.13693063937629155,335.0,135.7645019878171,38753.0,686.0748258511361,633.3221757322176,,0.4,0.5477225575051662,0.8,0.4472135954999579,3.6,0.5477225575051662
sine_abrupt4,entropy_divergence_ph_meta,0.9,0.13693063937629155,335.0,135.7645019878171,15763.6,20564.442717953727,497.13089147550215,197.14797974943605,0.4,0.5477225575051662,1.6,0.5477225575051662,3.6,0.5477225575051662
sine_abrupt4,entropy_only_ph_meta,1.0,0.0,,,38301.8,214.18496679272275,,,0.0,0.0,1.0,0.0,4.0,0.0
sine_abrupt4,error_divergence_ph_meta,0.6,0.13693063937629152,232.6,109.89449485756782,1666.431527093596,37.599548536314735,39.47562626479171,55.50312704613621,1.6,0.5477225575051661,29.8,0.44721359549995787,2.4,0.5477225575051661
sine_abrupt4,error_entropy_ph_meta,0.65,0.13693063937629155,242.2,117.65712898078043,1702.7904397007846,59.050829366806994,42.309512598257065,56.66863969443859,1.4,0.5477225575051662,29.2,0.8366600265340757,2.6,0.5477225575051662
sine_abrupt4,error_only_ph_meta,0.65,0.13693063937629155,242.2,117.65712898078043,1726.4042328042328,39.88900812757502,42.591468336805704,56.52939582705791,1.4,0.5477225575051662,28.8,0.44721359549995787,2.6,0.5477225575051662
stagger_abrupt3,all_signals_ph_meta,0.0,0.0,66.2,17.527121840165314,3433.2952380952383,466.31851736467456,56.67886063124415,23.036480837257248,2.0,0.0,14.4,1.6733200530681511,0.0,0.0
stagger_abrupt3,divergence_only_ph_meta,1.0,0.0,,,8196.266666666666,3768.2074016994106,,,0.0,0.0,3.0,0.7071067811865476,2.0,0.0
stagger_abrupt3,entropy_divergence_ph_meta,1.0,0.0,,,4795.733333333334,2276.9254904122113,,,0.0,0.0,4.6,1.140175425099138,2.0,0.0
stagger_abrupt3,entropy_only_ph_meta,1.0,0.0,,,28352.4,9131.51555329125,,,0.0,0.0,1.6,0.5477225575051661,2.0,0.0
stagger_abrupt3,error_divergence_ph_meta,0.0,0.0,66.2,17.527121840165314,3619.328937728938,311.8852753898966,59.03371758863275,20.82302052513983,2.0,0.0,13.6,0.8944271909999159,0.0,0.0
stagger_abrupt3,error_entropy_ph_meta,0.0,0.0,66.2,17.527121840165314,4410.14303030303,531.6825122227449,72.55939736715389,28.488759122800506,2.0,0.0,11.4,1.140175425099138,0.0,0.0
stagger_abrupt3,error_only_ph_meta,0.0,0.0,66.2,17.527121840165314,4738.702222222222,271.7469963489778,76.71837448005506,24.579415886167286,2.0,0.0,10.6,0.547722557505166,0.0,0.0
