dataset_name,model_variant,preset,seed,MDR,MTD,MTFA,MTR,n_true_drifts,n_detected,n_false_alarms,n_missed_drifts
sine_abrupt4,ts_drift_adapt,all_signals_ph_meta,1,0.75,47.0,1628.6896551724137,138.6118855465884,4,1,30,3
sine_abrupt4,ts_drift_adapt,error_only_ph_meta,2,0.75,335.0,1712.0,20.44179104477612,4,1,29,3
sine_abrupt4,ts_drift_adapt,entropy_only_ph_meta,2,1.0,,38033.0,,4,0,1,4
sine_abrupt4,ts_drift_adapt,divergence_only_ph_meta,2,0.75,239.0,37841.0,633.3221757322176,4,1,1,3
sine_abrupt4,ts_drift_adapt,error_entropy_ph_meta,2,0.75,335.0,1652.9655172413793,19.73690169840453,4,1,30,3
sine_abrupt4,ts_drift_adapt,error_divergence_ph_meta,2,0.5,287.0,1652.9655172413793,11.51892346509672,4,2,30,2
sine_abrupt4,ts_drift_adapt,entropy_divergence_ph_meta,2,0.75,239.0,38033.0,636.5355648535565,4,1,1,3
sine_abrupt4,ts_drift_adapt,all_signals_ph_meta,2,0.5,287.0,1652.9655172413793,11.51892346509672,4,2,30,2
sine_abrupt4,ts_drift_adapt,error_only_ph_meta,3,0.75,335.0,1712.0,20.44179104477612,4,1,29,3
sine_abrupt4,ts_drift_adapt,entropy_only_ph_meta,3,1.0,,38289.0,,4,0,1,4
sine_abrupt4,ts_drift_adapt,divergence_only_ph_meta,3,1.0,,39249.0,,4,0,1,4
sine_abrupt4,ts_drift_adapt,error_entropy_ph_meta,3,0.75,335.0,1652.9655172413793,19.73690169840453,4,1,30,3
sine_abrupt4,ts_drift_adapt,error_divergence_ph_meta,3,0.75,335.0,1652.9655172413793,19.73690169840453,4,1,30,3
sine_abrupt4,ts_drift_adapt,entropy_divergence_ph_meta,3,1.0,,960.0,,4,0,2,4
sine_abrupt4,ts_drift_adapt,all_signals_ph_meta,3,0.75,335.0,1597.8666666666666,19.079004975124377,4,1,31,3
sine_abrupt4,ts_drift_adapt,error_only_ph_meta,4,0.5,247.0,1792.5925925925926,14.514919778077672,4,2,28,2
sine_abrupt4,ts_drift_adapt,entropy_only_ph_meta,4,1.0,,38161.0,,4,0,1,4
sine_abrupt4,ts_drift_adapt,divergence_only_ph_meta,4,1.0,,38609.0,,4,0,1,4
sine_abrupt4,ts_drift_adapt,error_entropy_ph_meta,4,0.5,247.0,1792.5925925925926,14.514919778077672,4,2,28,2
sine_abrupt4,ts_drift_adapt,error_divergence_ph_meta,4,0.5,247.0,1728.5714285714287,13.996529786003471,4,2,29,2
sine_abrupt4,ts_drift_adapt,entropy_divergence_ph_meta,4,1.0,,448.0,,4,0,2,4
sine_abrupt4,ts_drift_adapt,all_signals_ph_meta,4,0.5,247.0,1728.5714285714287,13.996529786003471,4,2,29,2
sine_abrupt4,ts_drift_adapt,error_only_ph_meta,5,0.5,247.0,1728.5714285714287,13.996529786003471,4,2,29,2
sine_abrupt4,ts_drift_adapt,entropy_only_ph_meta,5,1.0,,38545.0,,4,0,1,4
sine_abrupt4,ts_drift_adapt,divergence_only_ph_meta,5,0.75,431.0,,,4,1,0,3
sine_abrupt4,ts_drift_adapt,error_entropy_ph_meta,5,0.5,247.0,1728.5714285714287,13.996529786003471,4,2,29,2
sine_abrupt4,ts_drift_adapt,error_divergence_ph_meta,5,0.5,247.0,1668.9655172413793,13.513890827865419,4,2,30,2
sine_abrupt4,ts_drift_adapt,entropy_divergence_ph_meta,5,0.75,431.0,38545.0,357.72621809744777,4,1,1,3
sine_abrupt4,ts_drift_adapt,all_signals_ph_meta,5,0.5,247.0,1668.9655172413793,13.513890827865419,4,2,30,2
stagger_abrupt3,ts_drift_adapt,error_only_ph_meta,1,0.0,47.0,5056.0,107.57446808510639,2,2,10,0
stagger_abrupt3,ts_drift_adapt,entropy_only_ph_meta,1,1.0,,38177.0,,2,0,1,2
stagger_abrupt3,ts_drift_adapt,divergence_only_ph_meta,1,1.0,,10240.0,,2,0,3,2
stagger_abrupt3,ts_drift_adapt,error_entropy_ph_meta,1,0.0,47.0,5056.0,107.57446808510639,2,2,10,0
stagger_abrupt3,ts_drift_adapt,error_divergence_ph_meta,1,0.0,47.0,3792.0,80.68085106382979,2,2,13,0
stagger_abrupt3,ts_drift_adapt,entropy_divergence_ph_meta,1,1.0,,6826.666666666667,,2,0,4,2
stagger_abrupt3,ts_drift_adapt,all_signals_ph_meta,1,0.0,47.0,3792.0,80.68085106382979,2,2,13,0
stagger_abrupt3,ts_drift_adapt,error_only_ph_meta,2,0.0,79.0,4807.111111111111,60.849507735583686,2,2,10,0
stagger_abrupt3,ts_drift_adapt,entropy_only_ph_meta,2,1.0,,20928.0,,2,0,2,2
stagger_abrupt3,ts_drift_adapt,divergence_only_ph_meta,2,1.0,,11040.0,,2,0,3,2
stagger_abrupt3,ts_drift_adapt,error_entropy_ph_meta,2,0.0,79.0,4326.4,54.76455696202531,2,2,11,0
stagger_abrupt3,ts_drift_adapt,error_divergence_ph_meta,2,0.0,79.0,3605.3333333333335,45.63713080168777,2,2,13,0
stagger_abrupt3,ts_drift_adapt,entropy_divergence_ph_meta,2,1.0,,5648.0,,2,0,5,2
stagger_abrupt3,ts_drift_adapt,all_signals_ph_meta,2,0.0,79.0,3328.0,42.12658227848101,2,2,14,0
stagger_abrupt3,ts_drift_adapt,error_only_ph_meta,3,0.0,47.0,4652.8,98.99574468085106,2,2,11,0
stagger_abrupt3,ts_drift_adapt,entropy_only_ph_meta,3,1.0,,38497.0,,2,0,1,2
stagger_abrupt3,ts_drift_adapt,divergence_only_ph_meta,3,1.0,,1920.0,,2,0,2,2
stagger_abrupt3,ts_drift_adapt,error_entropy_ph_meta,3,0.0,47.0,4652.8,98.99574468085106,2,2,11,0
stagger_abrupt3,ts_drift_adapt,error_divergence_ph_meta,3,0.0,47.0,3877.3333333333335,82.49645390070923,2,2,13,0
stagger_abrupt3,ts_drift_adapt,entropy_divergence_ph_meta,3,1.0,,960.0,,2,0,3,2
stagger_abrupt3,ts_drift_adapt,all_signals_ph_meta,3,0.0,47.0,3877.3333333333335,82.49645390070923,2,2,13,0
stagger_abrupt3,ts_drift_adapt,error_only_ph_meta,4,0.0,79.0,4326.4,54.76455696202531,2,2,11,0
stagger_abrupt3,ts_drift_adapt,entropy_only_ph_meta,4,1.0,,21696.0,,2,0,2,2
stagger_abrupt3,ts_drift_adapt,divergence_only_ph_meta,4,1.0,,7445.333333333333,,2,0,4,2
stagger_abrupt3,ts_drift_adapt,error_entropy_ph_meta,4,0.0,79.0,3605.3333333333335,45.63713080168777,2,2,13,0
stagger_abrupt3,ts_drift_adapt,error_divergence_ph_meta,4,0.0,79.0,3090.285714285714,39.11754068716094,2,2,15,0
stagger_abrupt3,ts_drift_adapt,entropy_divergence_ph_meta,4,1.0,,4672.0,,2,0,6,2
stagger_abrupt3,ts_drift_adapt,all_signals_ph_meta,4,0.0,79.0,2704.0,34.22784810126582,2,2,17,0
stagger_abrupt3,ts_drift_adapt,error_only_ph_meta,5,0.0,79.0,4851.2,61.40759493670886,2,2,11,0
stagger_abrupt3,ts_drift_adapt,entropy_only_ph_meta,5,1.0,,22464.0,,2,0,2,2
stagger_abrupt3,ts_drift_adapt,divergence_only_ph_meta,5,1.0,,10336.0,,2,0,3,2
stagger_abrupt3,ts_drift_adapt,error_entropy_ph_meta,5,0.0,79.0,4410.181818181818,55.82508630609896,2,2,12,0
stagger_abrupt3,ts_drift_adapt,error_divergence_ph_meta,5,0.0,79.0,3731.6923076923076,47.236611489776045,2,2,14,0
stagger_abrupt3,ts_drift_adapt,entropy_divergence_ph_meta,5,1.0,,5872.0,,2,0,5,2
stagger_abrupt3,ts_drift_adapt,all_signals_ph_meta,5,0.0,79.0,3465.1428571428573,43.8625678119349,2,2,15,0
