dataset_name,model_variant,seed,mean_acc,final_acc,mean_drop_min_acc,max_drop_min_acc,n_detected_events,n_drop_windows,mean_drift_severity
INSECTS_abrupt_balanced,ts_drift_adapt_severity_s2p0,1,0.19482193590658592,0.19521817762164972,0.0003856729809158625,0.007407650560223994,8,8,0.0
INSECTS_abrupt_balanced,ts_drift_adapt_severity_s2p0,2,0.19605735383264825,0.19571391106798144,0.0005158886489291074,0.007159113645458293,8,8,0.016758131446243562
INSECTS_abrupt_balanced,ts_drift_adapt_severity_s2p0,3,0.18517051933634024,0.18481499197739787,0.000892328383976855,0.00791566626650661,8,8,0.014265634594693263
Airlines,ts_drift_adapt,1,0.636589037654592,0.6355189623356446,0.00012441925969294192,0.0042192508012820484,39,39,0.0
Airlines,ts_drift_adapt,2,0.6483164152201697,0.6376995530312758,0.0002450211263583191,0.006397736378205066,40,40,0.0
Airlines,ts_drift_adapt,3,0.6268268301523924,0.6318752312378076,6.622122138998931e-05,0.0031049679487179516,40,40,0.0
Airlines,ts_drift_adapt_severity_s0p5,1,0.6420732387481796,0.6363215273418918,0.00025622999737861515,0.008538661858974339,39,39,0.0011945618822732718
Airlines,ts_drift_adapt_severity_s0p5,2,0.6393800159531279,0.6348679130633524,0.00018326668668241787,0.00497045272435892,40,40,0.005485730144845985
Airlines,ts_drift_adapt_severity_s0p5,3,0.640452164566529,0.635034767481741,0.00023827484085123807,0.007875100160256499,40,40,0.0
Airlines,ts_drift_adapt_severity_s1p0,1,0.6352859735242178,0.634373460624897,0.00017857827846761267,0.005383613782051211,39,39,0.011000556429143948
Airlines,ts_drift_adapt_severity_s1p0,2,0.6489546428616382,0.6375651943950086,0.0001922259185181574,0.006297576121794934,40,40,0.0038291414555037375
Airlines,ts_drift_adapt_severity_s1p0,3,0.6260034778006993,0.6324660766676856,0.0001087338152181011,0.003430488782051211,40,40,0.02030790827471952
Airlines,ts_drift_adapt_severity_s2p0,1,0.6424300302554771,0.6367207061673228,0.0002603015959818164,0.00732421875,39,39,0.005519044194054646
Airlines,ts_drift_adapt_severity_s2p0,2,0.642251240585628,0.6366603290675457,0.00020766206944750897,0.0053084935897435015,40,40,0.012214343991182553
Airlines,ts_drift_adapt_severity_s2p0,3,0.639535461021913,0.6364133646722316,0.000355192366523896,0.011693709935897356,40,40,0.0008864686836577349
