dataset_name,model_variant,runs,mean_acc_mean,mean_acc_std,final_acc_mean,final_acc_std,mean_drop_min_acc_mean,mean_drop_min_acc_std,max_drop_min_acc_mean,max_drop_min_acc_std,mean_drift_severity_mean,mean_drift_severity_std
Airlines,ts_drift_adapt,3.0,0.6372440943423846,0.008785305574062329,0.6350312488682427,0.0024026484564858737,0.0001452205358137501,7.446194249575424e-05,0.004573985042735022,0.0013674692608613844,0.0,0.0
Airlines,ts_drift_adapt_severity_s0p5,3.0,0.6406351397559455,0.0011070899379011642,0.6354080692956617,0.0006494943165780561,0.00022592384163742368,3.104106487780541e-05,0.007128071581196586,0.0015495306559379913,0.0022267640090397525,0.002355474436059386
Airlines,ts_drift_adapt_severity_s1p0,3.0,0.6367480313955184,0.009426636173732716,0.634801577229197,0.0021036021913902686,0.00015984600406795705,3.656871528601839e-05,0.005037226228632452,0.0011958360273053772,0.011712535386455733,0.006746239668499919
Airlines,ts_drift_adapt_severity_s2p0,3.0,0.6414055772876727,0.0013243847809719805,0.6365981333023667,0.0001329559665349486,0.00027438534398440713,6.104676408138333e-05,0.008108807425213619,0.0026651368306027236,0.006206618956298312,0.00465007233176456
Electricity,ts_drift_adapt,3.0,0.5760236740710488,0.019124403317650616,0.5760236740710488,0.019124403317650616,3.727258636451873e-06,0.0003458005721191793,0.001723911411411409,0.00023428820890447966,0.0,0.0
Electricity,ts_drift_adapt_severity_s0p5,3.0,0.5723716592116775,0.006600509665163834,0.5723716592116775,0.006600509665163834,0.0004161290689080359,0.0001254346337874263,0.0018210778117552968,6.176339930547098e-05,0.007718003289112245,0.007495931517489313
Electricity,ts_drift_adapt_severity_s1p0,3.0,0.5632663266739982,0.0075139096946057315,0.5632663266739982,0.0075139096946057315,-0.00022632316085049347,0.0002892696018422022,0.0014205611861862015,0.0003278766452290197,0.006418117923272279,0.007593165085099949
Electricity,ts_drift_adapt_severity_s2p0,3.0,0.5695142349557729,0.015209164813157343,0.5695142349557729,0.015209164813157343,4.95859853184249e-05,0.0004201418296600725,0.0015362237237237137,0.00024603177653039426,0.007759405452310582,0.010478631804622673
INSECTS_abrupt_balanced,ts_drift_adapt,3.0,0.1959711435292161,0.004319112996391948,0.19595111879579427,0.005213721803130148,0.0007091464280744251,0.0002883412511530998,0.007671818727491009,0.0004980772149133315,0.0,0.0
INSECTS_abrupt_balanced,ts_drift_adapt_severity_s0p5,3.0,0.19014730810314742,0.008073690708989839,0.19072178122306707,0.008549728264011444,0.0007647657425061443,0.0004909620682203602,0.007499087375334751,0.0004463854973204488,0.01168686623238716,0.008264345548428786
INSECTS_abrupt_balanced,ts_drift_adapt_severity_s1p0,3.0,0.1973464224724093,0.001414990086139248,0.1976849863710468,0.001534251379203007,0.0008243400208712016,0.00015515176073332095,0.007688492063492064,0.00020204599003597161,0.013534095757154188,0.005707542760320271
INSECTS_abrupt_balanced,ts_drift_adapt_severity_s2p0,3.0,0.19201660302519144,0.004867114872219829,0.19191569355567636,0.005025031349174373,0.0005979633379406083,0.00021482879275518468,0.007494143490729632,0.00031485842043089745,0.010341255346978941,0.007382831740026427
NOAA,ts_drift_adapt,3.0,0.6765592829855668,0.02980676404201625,0.6765592829855668,0.02980676404201625,-0.00016313556672668353,0.00046493294630860487,0.0020304996998799694,0.0005615428201109532,0.0,0.0
NOAA,ts_drift_adapt_severity_s0p5,3.0,0.6682020551391336,0.027536922444295626,0.6682020551391336,0.027536922444295626,-0.00047590911364546,0.0005924629531336368,0.0019648484393757584,0.0004541356373303089,0.011137566693215382,0.01575089786938006
NOAA,ts_drift_adapt_severity_s1p0,3.0,0.6564518581638182,0.028971723843203342,0.6564518581638182,0.028971723843203342,-0.0008387508649293126,0.0007672256845108634,0.0017751892423636395,0.000503331724310227,0.00843065432695859,0.011921663608236446
NOAA,ts_drift_adapt_severity_s2p0,3.0,0.6435745318744427,0.06060534348798241,0.6435745318744427,0.06060534348798241,-0.001328662975606872,0.0018049411643001492,0.0014333858543417548,0.0011665257899533864,0.01365980354497505,0.019246523879290704
