acc_ok,accept_count,accept_over_test,al_conf_P90_mean,al_confirm_rate_per_10k_mean,al_miss_tol500_mean,al_row_exists,best_acc_final_in_step1,candidate_count_total,check_name,confirm_rule_effective,confirmed_count_total,confirmed_over_candidate,dataset,delta_k,detail,diag_p50,diag_p90,diag_perm_alpha,diag_ratio,diag_row_exists,diff_p50,diff_p90,diff_perm_alpha,diff_ratio,drift_acc_final,glob_used,group,last_perm_effect,last_perm_pvalue,log_dir,log_path,log_path_exists,max_confP90,miss_sum,no_drift_MTFA,no_drift_rate,p_le_alpha_ratio,perm_alpha,perm_min_effect,perm_n_perm,perm_post_n,perm_pre_n,perm_rng_seed,perm_stat,pvalue_P50,pvalue_P90,pvalue_P99,rank,reject_count,run_id,sea_confP90,sea_miss,sine_confP90,sine_miss,status,summary_accept_over_test,summary_confirmed_over_candidate,summary_found_method,summary_locate_attempts_json,summary_p50,summary_p90,summary_path,summary_perm_alpha,summary_ratio,table_name,test_count
,0.0,,,,,,,150.0,,weighted,150.0,1.0,sea_abrupt4,,,,,,,,,,,,,1,A_weighted_n5,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv,1,,,,,,0.01,,,,,,,,,,,0.0,20260110-195141-kkz_A_weighted_n5,,,,,,,,glob,"[{""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5/.summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5/summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5/metrics.summary.json"", ""exists"": false}, {""kind"": ""glob"", ""pattern"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5/*.summary.json"", ""n_matches"": 1, ""picked"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json""}]",,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,,,RUN_drilldown_extract,0.0
,0.0,,,,,,,150.0,,weighted,150.0,1.0,sea_nodrift,,,,,,,,,,,,,1,A_weighted_n5,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed2.csv,1,,,,,,0.01,,,,,,,,,,,0.0,20260110-195141-kkz_A_weighted_n5,,,,,,,,glob,"[{""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5/.summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5/summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5/metrics.summary.json"", ""exists"": false}, {""kind"": ""glob"", ""pattern"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5/*.summary.json"", ""n_matches"": 1, ""picked"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json""}]",,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,,,RUN_drilldown_extract,0.0
,124.0,0.47692307692307695,,,,,,138.0,,perm_test,124.0,0.8985507246376812,sea_abrupt4,,,,,,,,,,,,,1,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,0.08115888629221694,0.004975124378109453,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv,1,,,,,0.47692307692307695,0.05,,,,,,,0.13681592039800994,1.0,1.0,,136.0,20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,,,,,,glob,"[{""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/.summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/metrics.summary.json"", ""exists"": false}, {""kind"": ""glob"", ""pattern"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/*.summary.json"", ""n_matches"": 1, ""picked"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json""}]",,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,,,RUN_drilldown_extract,260.0
,120.0,0.45627376425855515,,,,,,135.0,,perm_test,120.0,0.8888888888888888,sea_nodrift,,,,,,,,,,,,,1,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,0.019289278854280383,0.004975124378109453,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed2.csv,1,,,,,0.45627376425855515,0.05,,,,,,,0.13930348258706468,1.0,1.0,,143.0,20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,,,,,,glob,"[{""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/.summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/metrics.summary.json"", ""exists"": false}, {""kind"": ""glob"", ""pattern"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/*.summary.json"", ""n_matches"": 1, ""picked"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json""}]",,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,,,RUN_drilldown_extract,263.0
,83.0,0.2785234899328859,,,,,,120.0,,perm_test,83.0,0.6916666666666667,sea_abrupt4,,,,,,,,,,,,,1,P_perm_fused_score_a0.005_pre500_post30_n5,0.0010134821388141013,0.48756218905472637,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.csv,1,,,,,0.2785234899328859,0.005,,,,,,,1.0,1.0,1.0,,215.0,20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,,,,,,,,glob,"[{""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/.summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/metrics.summary.json"", ""exists"": false}, {""kind"": ""glob"", ""pattern"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/*.summary.json"", ""n_matches"": 1, ""picked"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json""}]",,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,,,RUN_drilldown_extract,298.0
,85.0,0.27960526315789475,,,,,,122.0,,perm_test,85.0,0.6967213114754098,sea_nodrift,,,,,,,,,,,,,1,P_perm_fused_score_a0.005_pre500_post30_n5,-0.0018132680025285605,1.0,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.csv,1,,,,,0.27960526315789475,0.005,,,,,,,1.0,1.0,1.0,,219.0,20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,,,,,,,,glob,"[{""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/.summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/summary.json"", ""exists"": false}, {""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/metrics.summary.json"", ""exists"": false}, {""kind"": ""glob"", ""pattern"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/*.summary.json"", ""n_matches"": 1, ""picked"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json""}]",,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,,,RUN_drilldown_extract,304.0
,,,271.64,,0.0,1,,,,,,,sea_abrupt4,,,,,,,1,,,,,,,A_weighted_n5,,,,,,,,,,,,,,,,,,,,,,,20260110-195141-kkz_A_weighted_n5,,,,,,,1.0,,,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,0.01,,DIFF_diag_vs_summary,
,,,,28.984375,,1,,,,,,,sea_nodrift,,,,,,,1,,,,,,,A_weighted_n5,,,,,,,,,,,,,,,,,,,,,,,20260110-195141-kkz_A_weighted_n5,,,,,,,1.0,,,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,0.01,,DIFF_diag_vs_summary,
,,,326.04,,0.0,1,,,,,,,sea_abrupt4,,,0.21840796019900496,1.0,0.05,0.4682838750273336,1,-0.08159203980099503,0.0,0.0,0.008639201895743354,,,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,,,,,,,,,,,,,,,,,,,,,20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,,,,0.47692307692307695,0.8985507246376812,,,0.13681592039800994,1.0,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,0.05,0.47692307692307695,DIFF_diag_vs_summary,
,,,,23.7890625,,1,,,,,,,sea_nodrift,,,0.21840796019900496,1.0,0.05,0.4682838750273336,1,-0.07910447761194028,0.0,0.0,-0.012010110768778448,,,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,,,,,,,,,,,,,,,,,,,,,20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,,,,0.45627376425855515,0.8888888888888888,,,0.13930348258706468,1.0,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,0.05,0.45627376425855515,DIFF_diag_vs_summary,
,,,740.12,,0.5,1,,,,,,,sea_abrupt4,,,,,,,0,,,,,,,P_perm_fused_score_a0.005_pre500_post30_n5,,,,,,,,,,,,,,,,,,,,,,,20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,,,,,,0.2785234899328859,0.6916666666666667,,,1.0,1.0,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,0.005,0.2785234899328859,DIFF_diag_vs_summary,
,,,,16.328125,,1,,,,,,,sea_nodrift,,,,,,,0,,,,,,,P_perm_fused_score_a0.005_pre500_post30_n5,,,,,,,,,,,,,,,,,,,,,,,20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,,,,,,0.27960526315789475,0.6967213114754098,,,1.0,1.0,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,0.005,0.27960526315789475,DIFF_diag_vs_summary,
