acc_ok,accept_over_test,best_acc_final_in_step1,cand_to_next_confirm_delay_p50,cand_to_next_confirm_delay_p90,cand_to_next_confirm_frac_delay_gt_500,cand_to_next_confirm_frac_delay_gt_post_n,cand_to_next_confirm_match_len,cand_unconfirmed_frac,candidate_count_total,candidate_len,confirm_rule_effective,confirmed_count_total,confirmed_len,confirmed_over_candidate,dataset,delta_k,dir_file_count,dir_filenames_preview_json,dir_filenames_truncated,dir_list_error,drift_acc_final,group,has_jsonl_cooldown_evidence,has_jsonl_pending_evidence,horizon,jsonl_chosen,jsonl_path,jsonl_read_error,last_perm_effect,last_perm_pvalue,log_dir,log_dir_exists,log_path,log_path_exists,max_confP90,mean_accept_over_test,mean_cand_unconfirmed_frac,mean_delay_p90,mean_frac_delay_gt_500,mean_perm_effect_p50,mean_perm_effect_p90,mean_perm_pvalue_p90,mean_perm_pvalue_p99,mean_perm_test_count_total,mean_reject_ratio,miss_sum,n_runs_selected,n_steps,no_drift_MTFA,no_drift_rate,note,perm_accept_count_total,perm_alpha,perm_effect_p50,perm_effect_p90,perm_effect_p99,perm_min_effect,perm_n_perm,perm_post_n,perm_pre_n,perm_pvalue_le_alpha_ratio,perm_pvalue_p50,perm_pvalue_p90,perm_pvalue_p99,perm_reject_count_total,perm_rng_seed,perm_stat,perm_test_count_total,perm_test_density,pvalue_mass_at_1_proxy,rank,reject_ratio,run_id,sea_confP90,sea_miss,seed,sine_confP90,sine_miss,summary_attempts_json,summary_glob_used,summary_path,table_name,test_intensity
,,,,,,,,,,,,,,,sea_abrupt4,,2,"[""sea_abrupt4__ts_drift_adapt__seed1.csv"", ""sea_abrupt4__ts_drift_adapt__seed1.summary.json""]",0,,,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,,,,N/A,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,1,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,1,,,"[{""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json"", ""exists"": true}]",0,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,RUN_drilldown_extract_v4,
,,,,,,,,,,,,,,,sea_abrupt4,,2,"[""sea_abrupt4__ts_drift_adapt__seed2.csv"", ""sea_abrupt4__ts_drift_adapt__seed2.summary.json""]",0,,,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,,,,N/A,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,1,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed2.csv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,2,,,"[{""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json"", ""exists"": true}]",0,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,RUN_drilldown_extract_v4,
,,,,,,,,,,,,,,,sea_abrupt4,,2,"[""sea_abrupt4__ts_drift_adapt__seed1.csv"", ""sea_abrupt4__ts_drift_adapt__seed1.summary.json""]",0,,,P_perm_fused_score_a0.005_pre500_post30_n5,,,,,,N/A,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,1,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.csv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,,,1,,,"[{""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json"", ""exists"": true}]",0,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,RUN_drilldown_extract_v4,
,,,,,,,,,,,,,,,sea_abrupt4,,2,"[""sea_abrupt4__ts_drift_adapt__seed2.csv"", ""sea_abrupt4__ts_drift_adapt__seed2.summary.json""]",0,,,P_perm_fused_score_a0.005_pre500_post30_n5,,,,,,N/A,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,1,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.csv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,,,2,,,"[{""kind"": ""direct"", ""path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json"", ""exists"": true}]",0,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,RUN_drilldown_extract_v4,
,,,0.0,0.0,0.0,,150,0.0,150.0,150,weighted,150.0,150,1.0,sea_abrupt4,,,,,,,A_weighted_n5,,,51200.0,,,,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv,,,,,,,,,,,,,,,800.0,,,,0.0,0.01,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,20260110-195141-kkz_A_weighted_n5,,,1,,,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,RUN_summary_metrics,0.0
,,,0.0,0.0,0.0,,151,0.0,150.0,151,weighted,150.0,150,1.0,sea_abrupt4,,,,,,,A_weighted_n5,,,51200.0,,,,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed2.csv,,,,,,,,,,,,,,,800.0,,,,0.0,0.01,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,20260110-195141-kkz_A_weighted_n5,,,2,,,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-195141-kkz_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,RUN_summary_metrics,0.0
,0.47692307692307695,,64.0,320.0,0.026143790849673203,,153,0.0,138.0,153,perm_test,124.0,124,0.8985507246376812,sea_abrupt4,,,,,,,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,51200.0,,,,0.08115888629221694,0.004975124378109453,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv,,,,,,,,,,,,,,,800.0,,,,124.0,0.05,0.0084781180340051,0.09535038115981581,0.21882417609310897,,,,,0.47692307692307695,0.13681592039800994,1.0,1.0,136.0,,,260.0,0.005078125,2.0,,0.5230769230769231,20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,1,,,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,RUN_summary_metrics,2.096774193548387
,0.45627376425855515,,64.0,384.0,0.06622516556291391,,151,0.0,135.0,151,perm_test,120.0,120,0.8888888888888888,sea_abrupt4,,,,,,,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,51200.0,,,,0.019289278854280383,0.004975124378109453,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed2.csv,,,,,,,,,,,,,,,800.0,,,,120.0,0.05,0.007104244943824171,0.07963178979836369,0.14848406164971653,,,,,0.45627376425855515,0.13930348258706468,1.0,1.0,143.0,,,263.0,0.00513671875,2.0,,0.5437262357414449,20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,2,,,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-202442-pl1_P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,RUN_summary_metrics,2.191666666666667
,0.2785234899328859,,192.0,640.0,0.2152777777777778,,144,0.013698630136986356,120.0,146,perm_test,83.0,83,0.6916666666666667,sea_abrupt4,,,,,,,P_perm_fused_score_a0.005_pre500_post30_n5,,,51200.0,,,,0.0010134821388141013,0.48756218905472637,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.csv,,,,,,,,,,,,,,,800.0,,,,83.0,0.005,-0.00994631517253906,0.0731780450312999,0.14592811418921828,,,,,0.2785234899328859,1.0,1.0,1.0,215.0,,,298.0,0.0058203125,2.0,,0.7214765100671141,20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,,,1,,,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.summary.json,RUN_summary_metrics,3.5903614457831323
,0.27960526315789475,,128.0,704.0,0.18120805369127516,,149,0.013245033112582738,122.0,151,perm_test,85.0,85,0.6967213114754098,sea_abrupt4,,,,,,,P_perm_fused_score_a0.005_pre500_post30_n5,,,51200.0,,,,-0.0018132680025285605,1.0,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.csv,,,,,,,,,,,,,,,800.0,,,,85.0,0.005,-0.009628272075714359,0.0663496390158781,0.15172907511086817,,,,,0.27960526315789475,1.0,1.0,1.0,219.0,,,304.0,0.0059375,2.0,,0.7203947368421053,20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5,,,2,,,,,logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260110-201159-3kp_P_perm_fused_score_a0.005_pre500_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.summary.json,RUN_summary_metrics,3.5764705882352943
,,,,,,,,,,,,,,,sea_abrupt4,,,,,,,A_weighted_n5,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTRIBUTION_EVIDENCE,
,,,,,,,,,,,,,,,sea_nodrift,,,,,,,A_weighted_n5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTRIBUTION_EVIDENCE,
,,,,,,,,,,,,,,,sea_abrupt4,,,,,,,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,0.0,0.0,,,,,,,,,,,,0.466598420590816,0.0,352.0,0.04618447820629356,0.007791181488914636,0.08749108547908975,1.0,1.0,261.5,0.533401579409184,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTRIBUTION_EVIDENCE,
,,,,,,,,,,,,,,,sea_nodrift,,,,,,,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTRIBUTION_EVIDENCE,
,,,,,,,,,,,,,,,sea_abrupt4,,,,,,,P_perm_fused_score_a0.005_pre500_post30_n5,0.0,0.0,,,,,,,,,,,,0.2790643765453903,0.013471831624784547,672.0,0.19824291573452646,-0.00978729362412671,0.06976384202358901,1.0,1.0,301.0,0.7209356234546097,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTRIBUTION_EVIDENCE,
,,,,,,,,,,,,,,,sea_nodrift,,,,,,,P_perm_fused_score_a0.005_pre500_post30_n5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTRIBUTION_EVIDENCE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUN_summary_anomalies,
