dataset_name,model_variant,labeled_ratio,runs,best_val_acc_teacher_mean,best_val_acc_teacher_std,test_acc_teacher_mean,test_acc_teacher_std
Airlines,tabular_mlp_semi_ema,0.05,3,0.5197418023162396,0.024698393347182598,0.5291878329439973,0.020989909235570935
Airlines,tabular_mlp_semi_ema,0.1,3,0.5223620947507633,0.012065221939115623,0.49879800264501223,0.042020707774913416
Electricity,tabular_mlp_semi_ema,0.05,3,0.5409401898035754,0.11091633998708121,0.5504671522106968,0.07738447095675388
Electricity,tabular_mlp_semi_ema,0.1,3,0.5267784889281247,0.06055617042155339,0.5553593761494887,0.06305524678931569
INSECTS_abrupt_balanced,tabular_mlp_semi_ema,0.05,6,0.16680859116283467,0.013230507522821964,0.1764752262907244,0.007407400618614683
INSECTS_abrupt_balanced,tabular_mlp_semi_ema,0.1,3,0.17765793042545805,0.0007738255997972112,0.18522723688775347,0.002401507530930238
NOAA,tabular_mlp_semi_ema,0.05,3,0.6780501239328008,0.0,0.6474800330487469,0.0
NOAA,tabular_mlp_semi_ema,0.1,3,0.5593500413109336,0.1678672666986516,0.549160011016249,0.13904550861118012
