dataset_name,model_variant,runs,best_val_acc_mean,best_val_acc_std,test_acc_mean,test_acc_std,labeled_ratio_mean,labeled_ratio_std
INSECTS_abrupt_balanced,tabular_mlp_baseline,3,0.5527486044091211,0.002378617672433826,0.6412464124641246,0.006917281389601155,1.0,0.0
NOAA,tabular_mlp_baseline,3,0.810061507390067,0.0009087941739292865,0.8052877995042689,0.00022486824040971726,1.0,0.0
