track,phase,group,dataset,base_dataset_name,seed,run_id,log_path
AL,quick,A_weighted_n5,sea_nodrift,sea_abrupt4,1,20260111-183656-wsn_A_weighted_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed1.csv
AL,quick,A_weighted_n5,sea_nodrift,sea_abrupt4,2,20260111-183656-wsn_A_weighted_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed2.csv
AL,quick,A_weighted_n5,sea_nodrift,sea_abrupt4,3,20260111-183656-wsn_A_weighted_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed3.csv
AL,quick,A_weighted_n5,sea_nodrift,sea_abrupt4,4,20260111-183656-wsn_A_weighted_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed4.csv
AL,quick,A_weighted_n5,sea_nodrift,sea_abrupt4,5,20260111-183656-wsn_A_weighted_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed5.csv
AL,quick,A_weighted_n5,sine_nodrift,sine_abrupt4,1,20260111-183656-wsn_A_weighted_n5__sine_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed1.csv
AL,quick,A_weighted_n5,sine_nodrift,sine_abrupt4,2,20260111-183656-wsn_A_weighted_n5__sine_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed2.csv
AL,quick,A_weighted_n5,sine_nodrift,sine_abrupt4,3,20260111-183656-wsn_A_weighted_n5__sine_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed3.csv
AL,quick,A_weighted_n5,sine_nodrift,sine_abrupt4,4,20260111-183656-wsn_A_weighted_n5__sine_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed4.csv
AL,quick,A_weighted_n5,sine_nodrift,sine_abrupt4,5,20260111-183656-wsn_A_weighted_n5__sine_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed5.csv
AL,quick,A_weighted_n5,sea_abrupt4,sea_abrupt4,1,20260111-183656-wsn_A_weighted_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv
AL,quick,A_weighted_n5,sea_abrupt4,sea_abrupt4,2,20260111-183656-wsn_A_weighted_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed2.csv
AL,quick,A_weighted_n5,sea_abrupt4,sea_abrupt4,3,20260111-183656-wsn_A_weighted_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed3.csv
AL,quick,A_weighted_n5,sea_abrupt4,sea_abrupt4,4,20260111-183656-wsn_A_weighted_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed4.csv
AL,quick,A_weighted_n5,sea_abrupt4,sea_abrupt4,5,20260111-183656-wsn_A_weighted_n5__sea_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed5.csv
AL,quick,A_weighted_n5,sine_abrupt4,sine_abrupt4,1,20260111-183656-wsn_A_weighted_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv
AL,quick,A_weighted_n5,sine_abrupt4,sine_abrupt4,2,20260111-183656-wsn_A_weighted_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed2.csv
AL,quick,A_weighted_n5,sine_abrupt4,sine_abrupt4,3,20260111-183656-wsn_A_weighted_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed3.csv
AL,quick,A_weighted_n5,sine_abrupt4,sine_abrupt4,4,20260111-183656-wsn_A_weighted_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed4.csv
AL,quick,A_weighted_n5,sine_abrupt4,sine_abrupt4,5,20260111-183656-wsn_A_weighted_n5__sine_abrupt4,logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed5.csv
AL,quick,P_perm_fused_score_a0.05_pre200_post30_n5,sea_nodrift,sea_abrupt4,1,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed1.csv
AL,quick,P_perm_fused_score_a0.05_pre200_post30_n5,sea_nodrift,sea_abrupt4,2,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed2.csv
AL,quick,P_perm_fused_score_a0.05_pre200_post30_n5,sea_nodrift,sea_abrupt4,3,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_nodrift,logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed3.csv
