step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,monitor_preset,trigger_mode,trigger_k,trigger_threshold,trigger_weights,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,monitor_severity,monitor_fused_severity,monitor_vote_count,monitor_vote_score,drift_severity_raw,drift_severity,severity_carry,use_severity_v2,entropy_mode,decay,freeze_baseline_steps,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,64,63,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.609375,-0.0610079575596817,0.5,0.6662624478340149,0.003822636092081666,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.97515,0.00115,0.9,0.8775,1767764556.5670497,0.6637856364250183,0.015313390642404556
2,128,127,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.640625,-0.030451522576128806,0.5,0.6614552736282349,0.002909917151555419,0,0.0,0.000912718940526247,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.967725,0.001225,0.8500000000000001,0.86625,1767764556.5746608,0.8009020686149597,0.011682442389428616
3,192,191,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.6354166666666666,-0.04073098962366449,0.16666666666666666,0.660627007484436,0.004277133382856846,0,0.0,0.33333333333333337,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9640124999999999,0.0012625000000000002,0.8250000000000001,0.860625,1767764556.5824306,0.5201388001441956,0.017127694562077522
4,256,255,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.61328125,-0.04005252790544977,0.6666666666666666,0.6629363894462585,0.0049246735870838165,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9621562499999999,0.0012812500000000003,0.8125,0.8578125,1767764556.5901754,0.6872460246086121,0.020203903317451477
5,320,319,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.640625,-0.030927835051546615,0.0,0.663809597492218,0.007716539315879345,0,0.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9612281249999999,0.001290625,0.80625,0.85640625,1767764556.5988889,0.41073358058929443,0.03141452372074127
6,384,383,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.6328125,-0.026387625113739658,0.6666666666666666,0.6674398183822632,0.007983464747667313,0,0.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9607640624999999,0.0012953125,0.8031250000000001,0.855703125,1767764556.6071296,0.8803452849388123,0.033849555999040604
7,448,447,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.640625,-0.022454071217963206,0.3333333333333333,0.6672959327697754,0.008753127418458462,0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9605320312499999,0.0012976562500000002,0.8015625000000001,0.8553515625,1767764556.6172612,0.6724679470062256,0.0366942398250103
8,512,511,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.640625,-0.02721563154221912,0.5,0.6655001640319824,0.008062313310801983,0,0.0,0.16666666666666669,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9604160156249999,0.001298828125,0.80078125,0.85517578125,1767764556.6261063,0.661709189414978,0.033387891948223114
9,576,575,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.6423611111111112,-0.021118397273712865,0.3333333333333333,0.6619819402694702,0.006252964027225971,0,0.0,0.16666666666666669,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603580078124999,0.0012994140625,0.800390625,0.855087890625,1767764556.634111,0.6251125931739807,0.025621118023991585
10,640,639,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.653125,-0.0034606963768628366,0.16666666666666666,0.664738118648529,0.008556310087442398,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.96032900390625,0.0012997070312500002,0.8001953125000001,0.8550439453125,1767764556.642313,0.5225144028663635,0.03601662814617157
11,704,703,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.6548295454545454,0.005071418601405005,0.16666666666666666,0.6626788973808289,0.005632495973259211,0,0.0,0.0029238141141831875,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.960314501953125,0.0012998535156250003,0.8000976562500001,0.85502197265625,1767764556.650393,0.4915931224822998,0.02307903580367565
12,768,767,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.66015625,0.001076426264800861,0.6666666666666666,0.6648074388504028,0.008301177062094212,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603072509765624,0.0012999267578125001,0.800048828125,0.855010986328125,1767764556.6585433,0.692186176776886,0.034732699394226074
13,832,831,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.6634615384615384,0.00640615536846073,0.16666666666666666,0.6663640737533569,0.007600748911499977,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603036254882812,0.00129996337890625,0.8000244140625,0.8550054931640625,1767764556.666756,0.6225833296775818,0.031917277723550797
14,896,895,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.6640625,0.012739040032799407,0.0,0.6530613899230957,0.00651735533028841,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603018127441405,0.0012999816894531252,0.8000122070312501,0.8550027465820312,1767764556.674858,0.28253212571144104,0.026417536661028862
15,960,959,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.6666666666666666,0.029659812375627946,0.16666666666666666,0.6552958488464355,0.008197725750505924,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603009063720702,0.0012999908447265626,0.8000061035156251,0.8550013732910156,1767764556.682914,0.4722084105014801,0.034644514322280884
16,1024,1023,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,or,2,0.5,,0.669921875,0.03234175799597405,0.16666666666666666,0.6529346108436584,0.008536255918443203,0,0.0,0.00033853016793727875,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603004531860351,0.0012999954223632815,0.8000030517578125,0.8550006866455078,1767764556.691053,0.368309885263443,0.036290694028139114
