dataset_name,model_variant,seed,drift_index,true_drift_step,window,student_error_rate_pre,student_error_rate_post,delta_student_error_rate,teacher_entropy_pre,teacher_entropy_post,delta_teacher_entropy,divergence_js_pre,divergence_js_post,delta_divergence_js,metric_accuracy_pre,metric_accuracy_post,delta_metric_accuracy,delta_acc,drop_min_acc
sea_abrupt4,ts_drift_adapt,1,0,10000,500,0.1458333333333333,0.18749999999999997,0.041666666666666685,0.3843633122742176,0.3778807036578655,-0.006482608616352081,0.007360133517067826,0.008959373750258199,0.0015992402331903733,0.8094059565053198,0.8096962244531843,0.0002902679478645753,0.0002902679478645753,0.0005263833345880986
sea_abrupt4,ts_drift_adapt,1,1,20000,500,0.10416666666666663,0.062499999999999986,-0.041666666666666644,0.29728420451283455,0.30483218282461166,0.007547978311777115,0.009891945897834337,0.012199552031233837,0.0023076061333995,0.8199684095962226,0.8214803767643568,0.0015119671681341762,0.0015119671681341762,-0.0006186511066527123
sea_abrupt4,ts_drift_adapt,1,2,30000,500,0.08333333333333331,0.22916666666666663,0.14583333333333331,0.18855584785342214,0.18214919045567507,-0.0064066573977470676,0.01077998505206775,0.02291485061869021,0.01213486556662246,0.8515227862987121,0.8519098808230252,0.0003870945243130697,0.0003870945243130697,-0.00023833658264382773
sea_abrupt4,ts_drift_adapt,1,3,40000,500,0.10416666666666663,0.09523809523809522,-0.00892857142857141,0.22497997805476183,0.21310607237475257,-0.011873905680009261,0.021341824904084164,0.016964448815477685,-0.004377376088606479,0.8611056920774753,0.8616244804898694,0.0005187884123940556,0.0005187884123940556,-0.0003160331621412382
sea_abrupt4,ts_drift_adapt,2,0,10000,500,0.08333333333333331,0.16666666666666663,0.08333333333333331,0.3764311596751213,0.34213071689009666,-0.03430044278502464,0.008243323129136075,0.007970492704771426,-0.00027283042436464927,0.7997933840040128,0.80138568176196,0.0015922977579472253,0.0015922977579472253,-0.0010373121985188805
sea_abrupt4,ts_drift_adapt,2,1,20000,500,0.12499999999999997,0.12499999999999994,-2.7755575615628914e-17,0.2898592986166477,0.2803935445845127,-0.00946575403213501,0.008362458902411125,0.01068900042446325,0.002326541522052125,0.8185541606113026,0.8209061747939199,0.0023520141826173235,0.0023520141826173235,-0.0012341780468443364
sea_abrupt4,ts_drift_adapt,2,2,30000,500,0.0833333333333333,0.18749999999999994,0.10416666666666664,0.16407563164830205,0.18495755828917024,0.020881926640868187,0.009366339014377388,0.027057690545916502,0.017691351531539112,0.8555425358111424,0.8561255065037525,0.0005829706926101519,0.0005829706926101519,-0.0003565637651288256
sea_abrupt4,ts_drift_adapt,2,3,40000,500,0.10416666666666664,0.0714285714285714,-0.03273809523809525,0.24493784271180624,0.24988587413515365,0.004948031423347404,0.016671925317496013,0.018864078580268756,0.0021921532627727433,0.8634251494017184,0.863917019864342,0.0004918704626235559,0.0004918704626235559,-0.00036073576574569
sea_abrupt4,ts_drift_adapt,3,0,10000,500,0.29166666666666663,0.2083333333333333,-0.08333333333333334,0.3240411505103111,0.3369896486401558,0.012948498129844666,0.012451340327970649,0.0158776607131585,0.0034263203851878504,0.8179773665813604,0.8178309920264576,-0.00014637455490285056,-0.00014637455490285056,0.001761665361848297
sea_abrupt4,ts_drift_adapt,3,1,20000,500,0.12499999999999999,0.062499999999999986,-0.0625,0.25977764278650284,0.2641698755323887,0.004392232745885849,0.014446387183852437,0.014683596207760236,0.00023720902390779973,0.8314335716939798,0.8324726272827905,0.0010390555888106778,0.0010390555888106778,-0.0005851982740713302
sea_abrupt4,ts_drift_adapt,3,2,30000,500,0.06249999999999997,0.12499999999999999,0.06250000000000001,0.1658622808754444,0.1683211121708154,0.002458831295371,0.011131836508866337,0.017294168123044025,0.006162331614177688,0.8619883249097802,0.8621501408350737,0.00016181592529351807,0.00016181592529351807,0.00024490385714859286
sea_abrupt4,ts_drift_adapt,3,3,40000,500,0.0833333333333333,0.11904761904761903,0.035714285714285726,0.2520835567265749,0.24294495156833104,-0.009138605158243857,0.014894574997015238,0.01889863543744594,0.004004060440430703,0.8650782594658618,0.865488931029504,0.00041067156364216206,0.00041067156364216206,-0.0001873156140104193
sea_abrupt4,ts_drift_adapt,4,0,10000,500,0.12499999999999996,0.08333333333333331,-0.041666666666666644,0.36647286266088486,0.35049838572740555,-0.01597447693347931,0.008614283346105311,0.008358076389413261,-0.0002562069566920504,0.8118444179042901,0.8129007751583868,0.001056357254096696,0.001056357254096696,-0.0007544745007732612
sea_abrupt4,ts_drift_adapt,4,1,20000,500,0.22916666666666663,0.12499999999999997,-0.10416666666666666,0.3233460374176502,0.29834257811307907,-0.02500345930457115,0.01474746153689915,0.0208864551968872,0.006138993659988049,0.8276297356972685,0.8280926003310618,0.0004628646337933029,0.0004628646337933029,-0.00019764525511245523
sea_abrupt4,ts_drift_adapt,4,2,30000,500,0.020833333333333325,0.16666666666666663,0.14583333333333331,0.18462140299379823,0.18407036177814,-0.0005510412156582156,0.008185865648556449,0.01845144401886495,0.0102655783703085,0.8598906677463811,0.8599952237562007,0.00010455600981962299,0.00010455600981962299,0.00018462961078791196
sea_abrupt4,ts_drift_adapt,4,3,40000,500,0.10416666666666663,0.11904761904761904,0.014880952380952411,0.2219069059938192,0.24517367993082315,0.023266773937003937,0.015620928374119051,0.016424915487212744,0.0008039871130936932,0.866882272489783,0.8671574091351665,0.00027513664538347804,0.00027513664538347804,-0.00019344293152068204
sea_abrupt4,ts_drift_adapt,42,0,1500,500,0.29166666666666663,0.27083333333333326,-0.02083333333333337,0.625770628452301,0.6219667047262192,-0.003803923726081848,0.014129407238215163,0.025532557861879437,0.011403150623664274,0.6283020684844834,0.6602036036009222,0.031901535116438784,0.031901535116438784,-0.015578139848849926
sea_abrupt4,ts_drift_adapt,42,1,3000,500,0.38095238095238093,0.2708333333333333,-0.11011904761904762,0.6158488477979388,0.607002928853035,-0.00884591894490383,0.008555466841374086,0.0107238245545886,0.0021683577132145145,0.6951736746590259,0.7023895747945754,0.007215900135549513,0.007215900135549513,-0.003629516830335744
