experiment_name,run_id,group,dataset,seed,model_variant,monitor_preset,trigger_mode,theta_confirm,weights,use_severity_v2,severity_gate,acc_final,mean_acc,acc_min,MDR_win,MTD_win,MTFA_win,MTR_win,MDR_tol,MTD_tol,MTFA_tol,MTR_tol
trackH_severity_gating,20260107-145433-9c8_trackH_baseline,baseline,INSECTS_abrupt_balanced,1,ts_drift_adapt,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,0.2078074441311711,0.20157608086517106,0.16456473214285713,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,
trackH_severity_gating,20260107-145433-9c8_trackH_baseline,baseline,INSECTS_abrupt_balanced,3,ts_drift_adapt,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,0.18958502847843775,0.1876430237176487,0.15670289855072464,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,
trackH_severity_gating,20260107-145433-9c8_trackH_baseline,baseline,INSECTS_abrupt_balanced,5,ts_drift_adapt,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,0.20640717543096107,0.192433458863852,0.04296875,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,
trackH_severity_gating,20260107-145443-gx4_trackH_v1,v1,INSECTS_abrupt_balanced,1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,0.21511154843226674,0.20354814921981967,0.0859375,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,
trackH_severity_gating,20260107-145443-gx4_trackH_v1,v1,INSECTS_abrupt_balanced,3,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,0.20165761538024865,0.1962565338673042,0.171875,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,
trackH_severity_gating,20260107-145443-gx4_trackH_v1,v1,INSECTS_abrupt_balanced,5,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,0.2033038772304956,0.19771593156017955,0.16611328125,0.4,2081.3333333333335,11200.0,8.968609865470853,0.6,221.0,8960.0,101.35746606334841
trackH_severity_gating,20260107-145451-k0o_trackH_v2,v2,INSECTS_abrupt_balanced,1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,0.21516831608227524,0.19658078883727495,0.0546875,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,
trackH_severity_gating,20260107-145451-k0o_trackH_v2,v2,INSECTS_abrupt_balanced,3,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,0.19520502582928076,0.191482442621153,0.1666294642857143,0.2,5605.5,15018.666666666666,3.3490916659233485,1.0,,6436.571428571428,
trackH_severity_gating,20260107-145451-k0o_trackH_v2,v2,INSECTS_abrupt_balanced,5,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,0.20135485458020322,0.19538595937893927,0.15755208333333334,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,
trackH_severity_gating,20260107-145500-gdd_trackH_v2_gate,v2_gate,INSECTS_abrupt_balanced,1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_only,0.21414649838212196,0.20864018615319216,0.16519474637681159,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,
trackH_severity_gating,20260107-145500-gdd_trackH_v2_gate,v2_gate,INSECTS_abrupt_balanced,3,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_only,0.19762711222964408,0.18926443424304837,0.140625,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,
trackH_severity_gating,20260107-145500-gdd_trackH_v2_gate,v2_gate,INSECTS_abrupt_balanced,5,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.6,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_only,0.20105209378015781,0.19793472079383329,0.16450892857142857,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,
