experiment_name,run_name_token,run_id,dataset,seed,model_variant,monitor_preset,trigger_mode,trigger_k,trigger_threshold,trigger_weights,severity_scheduler_scale,use_severity_v2,entropy_mode,decay,freeze_baseline_steps
run_real_adaptive,trackD_insects_base,20260107-133841-g3l_trackD_insects_base,INSECTS_abrupt_balanced,1,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
run_real_adaptive,trackD_insects_base,20260107-133841-g3l_trackD_insects_base,INSECTS_abrupt_balanced,2,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
run_real_adaptive,trackD_insects_base,20260107-133841-g3l_trackD_insects_base,INSECTS_abrupt_balanced,3,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
run_real_adaptive,trackD_insects_base,20260107-133841-g3l_trackD_insects_base,INSECTS_abrupt_balanced,4,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
run_real_adaptive,trackD_insects_base,20260107-133841-g3l_trackD_insects_base,INSECTS_abrupt_balanced,5,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
run_real_adaptive,trackD_insects_v1,20260107-133951-s03_trackD_insects_v1,INSECTS_abrupt_balanced,1,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
run_real_adaptive,trackD_insects_v1,20260107-133951-s03_trackD_insects_v1,INSECTS_abrupt_balanced,2,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
run_real_adaptive,trackD_insects_v1,20260107-133951-s03_trackD_insects_v1,INSECTS_abrupt_balanced,3,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
run_real_adaptive,trackD_insects_v1,20260107-133951-s03_trackD_insects_v1,INSECTS_abrupt_balanced,4,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
run_real_adaptive,trackD_insects_v1,20260107-133951-s03_trackD_insects_v1,INSECTS_abrupt_balanced,5,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
run_real_adaptive,trackD_insects_v2_unc_d095_f5,20260107-134103-7lg_trackD_insects_v2_unc_d095_f5,INSECTS_abrupt_balanced,1,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,1,uncertain,0.95,5
run_real_adaptive,trackD_insects_v2_unc_d095_f5,20260107-134103-7lg_trackD_insects_v2_unc_d095_f5,INSECTS_abrupt_balanced,2,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,1,uncertain,0.95,5
run_real_adaptive,trackD_insects_v2_unc_d095_f5,20260107-134103-7lg_trackD_insects_v2_unc_d095_f5,INSECTS_abrupt_balanced,3,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,1,uncertain,0.95,5
run_real_adaptive,trackD_insects_v2_unc_d095_f5,20260107-134103-7lg_trackD_insects_v2_unc_d095_f5,INSECTS_abrupt_balanced,4,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,1,uncertain,0.95,5
run_real_adaptive,trackD_insects_v2_unc_d095_f5,20260107-134103-7lg_trackD_insects_v2_unc_d095_f5,INSECTS_abrupt_balanced,5,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,1,uncertain,0.95,5
stage1_multi_seed,trackD_sea_base,20260107-134214-fsc_trackD_sea_base,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackD_sea_base,20260107-134214-fsc_trackD_sea_base,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackD_sea_base,20260107-134214-fsc_trackD_sea_base,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackD_sea_base,20260107-134214-fsc_trackD_sea_base,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackD_sea_base,20260107-134214-fsc_trackD_sea_base,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackD_sea_v1,20260107-134319-dd1_trackD_sea_v1,sea_abrupt4,1,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackD_sea_v1,20260107-134319-dd1_trackD_sea_v1,sea_abrupt4,2,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackD_sea_v1,20260107-134319-dd1_trackD_sea_v1,sea_abrupt4,3,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackD_sea_v1,20260107-134319-dd1_trackD_sea_v1,sea_abrupt4,4,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackD_sea_v1,20260107-134319-dd1_trackD_sea_v1,sea_abrupt4,5,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackD_sea_v2_unc_d095_f5,20260107-134416-0zb_trackD_sea_v2_unc_d095_f5,sea_abrupt4,1,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,1,uncertain,0.95,5
stage1_multi_seed,trackD_sea_v2_unc_d095_f5,20260107-134416-0zb_trackD_sea_v2_unc_d095_f5,sea_abrupt4,2,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,1,uncertain,0.95,5
stage1_multi_seed,trackD_sea_v2_unc_d095_f5,20260107-134416-0zb_trackD_sea_v2_unc_d095_f5,sea_abrupt4,3,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,1,uncertain,0.95,5
stage1_multi_seed,trackD_sea_v2_unc_d095_f5,20260107-134416-0zb_trackD_sea_v2_unc_d095_f5,sea_abrupt4,4,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,1,uncertain,0.95,5
stage1_multi_seed,trackD_sea_v2_unc_d095_f5,20260107-134416-0zb_trackD_sea_v2_unc_d095_f5,sea_abrupt4,5,ts_drift_adapt_severity,error_divergence_ph_meta,or,2,0.5,,,1,uncertain,0.95,5
stage1_multi_seed,trackE_or,20260107-134521-prk_trackE_or,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackE_or,20260107-134521-prk_trackE_or,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackE_or,20260107-134521-prk_trackE_or,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackE_or,20260107-134521-prk_trackE_or,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackE_or,20260107-134521-prk_trackE_or,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackE_or,20260107-134521-prk_trackE_or,stagger_abrupt3,1,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackE_or,20260107-134521-prk_trackE_or,stagger_abrupt3,2,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackE_or,20260107-134521-prk_trackE_or,stagger_abrupt3,3,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
stage1_multi_seed,trackE_or,20260107-134521-prk_trackE_or,stagger_abrupt3,4,ts_drift_adapt,error_divergence_ph_meta,or,2,0.5,,,0,overconfident,0.95,0
