accept_ratio,candidate_count_mean,confirm_rule,confirmed_count_mean,confirmed_over_candidate_mean,dataset,delta_k,drift_acc_final,group,max_confP90,miss_sum,missing_in_diag,no_drift_MTFA,no_drift_rate,p_le_alpha_ratio,perm_alpha,perm_post_n,perm_pre_n,perm_stat,phase,pvalue_P50,pvalue_P90,pvalue_P99,sea_confP90,sea_miss,sine_confP90,sine_miss,table_name
0.46161034169136,131.2,perm_test,117.2,0.893178097323313,sine_abrupt4,50,,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,0,,,0.46161034169136,0.05,50,500,,,0.24776119402985075,1.0,1.0,,,,,AM_diag_summary
0.4682838750273336,136.4,perm_test,121.8,0.8929669856577686,sea_nodrift,50,,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,0,,,0.4682838750273336,0.05,50,500,,,0.21840796019900496,1.0,1.0,,,,,AM_diag_summary
0.46161034169136,131.2,perm_test,117.2,0.893178097323313,sine_nodrift,50,,P_perm_delta_fused_score_a0.05_pre500_post50_dk50_n5,,,0,,,0.46161034169136,0.05,50,500,,,0.24776119402985075,1.0,1.0,,,,,AM_diag_summary
,,perm_test,,,sea_abrupt4,25,,P_perm_delta_fused_score_a0.02_pre200_post50_dk25_n5,,,1,,,,0.02,50,200,,,,,,,,,,AM_diag_summary
,,perm_test,,,sine_abrupt4,25,,P_perm_delta_fused_score_a0.02_pre200_post50_dk25_n5,,,1,,,,0.02,50,200,,,,,,,,,,AM_diag_summary
,,perm_test,,,sea_nodrift,25,,P_perm_delta_fused_score_a0.02_pre200_post50_dk25_n5,,,1,,,,0.02,50,200,,,,,,,,,,AM_diag_summary
,,perm_test,,,sine_nodrift,25,,P_perm_delta_fused_score_a0.02_pre200_post50_dk25_n5,,,1,,,,0.02,50,200,,,,,,,,,,AM_diag_summary
,,perm_test,,,sea_abrupt4,N/A,,P_perm_fused_score_a0.05_pre200_post50_n5,,,1,,,,0.05,50,200,,,,,,,,,,AM_diag_summary
,,perm_test,,,sine_abrupt4,N/A,,P_perm_fused_score_a0.05_pre200_post50_n5,,,1,,,,0.05,50,200,,,,,,,,,,AM_diag_summary
,,perm_test,,,sea_nodrift,N/A,,P_perm_fused_score_a0.05_pre200_post50_n5,,,1,,,,0.05,50,200,,,,,,,,,,AM_diag_summary
,,perm_test,,,sine_nodrift,N/A,,P_perm_fused_score_a0.05_pre200_post50_n5,,,1,,,,0.05,50,200,,,,,,,,,,AM_diag_summary
,,perm_test,,,sea_abrupt4,N/A,,P_perm_fused_score_a0.005_pre500_post30_n5,,,1,,,,0.005,30,500,,,,,,,,,,AM_diag_summary
,,perm_test,,,sine_abrupt4,N/A,,P_perm_fused_score_a0.005_pre500_post30_n5,,,1,,,,0.005,30,500,,,,,,,,,,AM_diag_summary
,,perm_test,,,sea_nodrift,N/A,,P_perm_fused_score_a0.005_pre500_post30_n5,,,1,,,,0.005,30,500,,,,,,,,,,AM_diag_summary
,,perm_test,,,sine_nodrift,N/A,,P_perm_fused_score_a0.005_pre500_post30_n5,,,1,,,,0.005,30,500,,,,,,,,,,AM_diag_summary
