track,phase,group,dataset,base_dataset_name,seed,run_id,log_path
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,1,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed1/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed1.csv
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,2,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed2/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed2.csv
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,3,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed3/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed3.csv
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,4,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed4/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed4.csv
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,5,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed5/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed5.csv
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,6,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed6/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed6.csv
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,7,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed7/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed7.csv
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,8,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed8/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed8.csv
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,9,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed9/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed9.csv
AL,stability,A_weighted_n5,sea_nodrift,sea_abrupt4,10,20260113-004229-bzy_A_weighted_n5__sea_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sea_nodrift/ts_drift_adapt/seed10/20260113-004229-bzy_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed10.csv
AL,stability,A_weighted_n5,sine_nodrift,sine_abrupt4,1,20260113-004229-bzy_A_weighted_n5__sine_nodrift,logs_v15p3_s0/trackAL_perm_confirm_stability_v15p2/sine_nodrift/ts_drift_adapt/seed1/20260113-004229-bzy_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed1.csv
