track,dataset,unit,seed,group,src_group,run_id,log_path,acc_final,acc_min_raw,acc_min@2000,confirmed_count,confirm_rate_per_10k,post_mean@W500,post_min@W500,post_mean@W1000,post_min@W1000,post_mean@W2000,post_min@W2000
AC,INSECTS_abrupt_balanced,sample_idx,1,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed1/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed1.csv,0.21350313168202548,0.12890625,0.1595901268115942,40,7.569020001135353,0.19541160107005603,0.19500465562358035,0.19527288542319665,0.19442887756981064,0.19440957451127294,0.19198613624032
AC,INSECTS_abrupt_balanced,sample_idx,2,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed2/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed2.csv,0.19891384562983708,0.1484375,0.16244419642857144,39,7.379794501106969,0.186700569878916,0.18649856409800566,0.18683832661703173,0.1862979891469247,0.1865961774397959,0.18461253212513293
AC,INSECTS_abrupt_balanced,sample_idx,3,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed3/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed3.csv,0.19418320812912748,0.1521434294871795,0.1521434294871795,38,7.190569001078585,0.1791337331979871,0.17893562436083782,0.17914653055960666,0.17852627858351464,0.17859241164899245,0.176411207625753
AC,INSECTS_abrupt_balanced,sample_idx,4,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed4/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed4.csv,0.19738111907960718,0.16752232142857143,0.16752232142857143,38,7.190569001078585,0.19215841175171228,0.19166771132628474,0.1919518775881417,0.19084118026174587,0.19070914260065805,0.18811238717947448
AC,INSECTS_abrupt_balanced,sample_idx,5,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed5/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed5.csv,0.20635040778095257,0.1634963768115942,0.1634963768115942,39,7.379794501106969,0.18998669632270757,0.18959477413900339,0.1897642951187279,0.18893415504471572,0.1886366636167673,0.18645357455972605
AC,INSECTS_abrupt_balanced,sample_idx,6,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed6/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed6.csv,0.20126024183018904,0.15953351449275363,0.15953351449275363,38,7.190569001078585,0.18651507375361026,0.18623451133144453,0.18637405279461286,0.18569023897609677,0.1855409577785771,0.18342551776275268
AC,INSECTS_abrupt_balanced,sample_idx,7,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed7/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed7.csv,0.20300111643045016,0.16009963768115942,0.16009963768115942,40,7.569020001135353,0.18736879687743177,0.18697167499279052,0.18719707135918548,0.18634110442002608,0.1861651538999084,0.18393874877045321
AC,INSECTS_abrupt_balanced,sample_idx,8,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed8/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed8.csv,0.20741007058111152,0.125,0.15002264492753623,39,7.379794501106969,0.18322127339218355,0.1827734447319428,0.18328344111220407,0.18219675346952316,0.18291924451195388,0.17999866024918418
AC,INSECTS_abrupt_balanced,sample_idx,9,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed9/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed9.csv,0.19753249947962986,0.11328125,0.15834465579710144,40,7.569020001135353,0.1835427237656245,0.18322692375258443,0.1833390977685128,0.1826312513774498,0.1824778556699933,0.18034971552864698
AC,INSECTS_abrupt_balanced,sample_idx,10,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed10/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed10.csv,0.19885707797982857,0.1617980072463768,0.1617980072463768,38,7.190569001078585,0.1890748069369147,0.18866823727291915,0.18893773677545556,0.1880315025417678,0.18817829850956136,0.18563352338662412
AC,INSECTS_abrupt_balanced,sample_idx,11,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed11/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed11.csv,0.20778852158116828,0.16776315789473684,0.16776315789473684,40,7.569020001135353,0.1901365786360513,0.18988223958368727,0.1901069774462663,0.18937655029379832,0.18945928660180256,0.1871671071945247
AC,INSECTS_abrupt_balanced,sample_idx,12,baseline,A_baseline,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed12/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed12.csv,0.19859216227978882,0.0859375,0.16111865942028986,38,7.190569001078585,0.18640712609852603,0.186108602104272,0.18622383260512973,0.18548601171715554,0.18532721459068788,0.18313929566706313
