track,dataset,seed,group,run_id,confirm_theta,confirm_window,confirm_cooldown,confirmed_count_total,horizon,confirm_rate_per_10k,median_gap_between_confirms,p10_gap_between_confirms,acc_min_raw,acc_min@2000,post_min@W1000,post_mean@W1000,recovery_time_to_pre90
R,INSECTS_abrupt_balanced,3,v2,20260108-110658-6eq_v2_theta0.50_w1_cd0,0.5,1,0,38,52847,7.190569001078585,1280.0,1280.0,0.15704257246376813,0.15704257246376813,0.18649741745962456,0.1871664376379435,178.4
R,INSECTS_abrupt_balanced,4,v2,20260108-110658-6eq_v2_theta0.50_w1_cd0,0.5,1,0,37,52847,7.001343501050202,1280.0,1280.0,0.16417410714285716,0.16417410714285716,0.18645464450481603,0.18722457202104476,178.4
R,INSECTS_abrupt_balanced,5,v2,20260108-110658-6eq_v2_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.15953351449275363,0.15953351449275363,0.18914771578383172,0.18996552681354345,178.4
R,INSECTS_abrupt_balanced,6,v2,20260108-110658-6eq_v2_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.15234375,0.15279664855072464,0.1863531123425405,0.18717774272524063,178.4
R,INSECTS_abrupt_balanced,7,v2,20260108-110658-6eq_v2_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.15625,0.1665534420289855,0.19392134571537378,0.19488359177126738,178.4
R,INSECTS_abrupt_balanced,8,v2,20260108-110658-6eq_v2_theta0.50_w1_cd0,0.5,1,0,40,52847,7.569020001135353,1280.0,1280.0,0.16886160714285714,0.16886160714285714,0.2005110718543086,0.20130309521852527,178.4
R,INSECTS_abrupt_balanced,9,v2,20260108-110658-6eq_v2_theta0.50_w1_cd0,0.5,1,0,37,52847,7.001343501050202,1280.0,1280.0,0.16191123188405798,0.16191123188405798,0.1885161332226412,0.18923282838771144,178.4
R,INSECTS_abrupt_balanced,10,v2,20260108-110658-6eq_v2_theta0.50_w1_cd0,0.5,1,0,37,52847,7.001343501050202,1280.0,1280.0,0.140625,0.15081521739130435,0.1833765707424868,0.1843112024421698,178.4
R,sea_abrupt4,1,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,150,50000,30.0,320.0,320.0,0.234375,0.734375,,,
R,sea_abrupt4,2,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,149,50000,29.8,320.0,320.0,0.25,0.7177734375,,,
R,sea_abrupt4,3,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,151,50000,30.2,320.0,320.0,0.71875,0.7803571428571429,,,
R,sea_abrupt4,4,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,152,50000,30.4,320.0,320.0,0.59375,0.75830078125,,,
R,sea_abrupt4,5,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,148,50000,29.6,320.0,320.0,0.515625,0.72265625,,,
R,INSECTS_abrupt_balanced,1,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,40,52847,7.569020001135353,1280.0,1280.0,0.1484375,0.16579241071428572,0.19489059909189002,0.19592264879436389,178.4
R,INSECTS_abrupt_balanced,2,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.15913722826086957,0.15913722826086957,0.19093810224507096,0.1918553027527393,178.4
