track,run_id,dataset,seed,model_variant,mode,log_path,acc_final,mean_acc,acc_min,drift_flag_count,MDR_win,MTD_win,MTFA_win,MTR_win,MDR_tol500,MTD_tol500,MTFA_tol500,MTR_tol500,miss_rate_tol500,delay_p90,post_mean_acc_W1000,post_min_acc_W1000,recovery_time_to_pre90
I,20260107-160656-pkz_weighted_t0.40,sea_abrupt4,1,ts_drift_adapt,weighted_t0.40,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87048,0.8201710096526521,0.6328125,28,,,,,,,,,1.0,,,,
I,20260107-160656-pkz_weighted_t0.40,sea_abrupt4,2,ts_drift_adapt,weighted_t0.40,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed2.csv,0.88484,0.8358369899508489,0.70703125,30,,,,,,,,,1.0,,,,
I,20260107-160656-pkz_weighted_t0.40,sea_abrupt4,3,ts_drift_adapt,weighted_t0.40,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed3.csv,0.85888,0.809811872017783,0.34375,31,,,,,,,,,1.0,,,,
I,20260107-160656-pkz_weighted_t0.40,sea_abrupt4,4,ts_drift_adapt,weighted_t0.40,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed4.csv,0.87084,0.8257067767068501,0.609375,31,,,,,,,,,0.0,,,,
I,20260107-160656-pkz_weighted_t0.40,sea_abrupt4,5,ts_drift_adapt,weighted_t0.40,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed5.csv,0.87386,0.8169587261182338,0.328125,30,,,,,,,,,0.0,,,,
I,20260107-160656-pkz_weighted_t0.40,stagger_abrupt3,1,ts_drift_adapt,weighted_t0.40,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed1/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.927578125,0.9397176930007073,0.109375,12,,,,,,,,,0.0,,,,
I,20260107-160656-pkz_weighted_t0.40,stagger_abrupt3,2,ts_drift_adapt,weighted_t0.40,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed2/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.9341015625,0.9454103630479181,0.484375,12,,,,,,,,,0.0,,,,
I,20260107-160656-pkz_weighted_t0.40,stagger_abrupt3,3,ts_drift_adapt,weighted_t0.40,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed3/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.92826171875,0.9457677409078785,0.578125,12,,,,,,,,,0.0,,,,
I,20260107-160656-pkz_weighted_t0.40,stagger_abrupt3,4,ts_drift_adapt,weighted_t0.40,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed4/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.933203125,0.9535017687606393,0.6875,12,,,,,,,,,0.0,,,,
I,20260107-160656-pkz_weighted_t0.40,stagger_abrupt3,5,ts_drift_adapt,weighted_t0.40,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed5/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.9307421875,0.9446578974939128,0.328125,13,,,,,,,,,0.0,,,,
I,20260107-160828-06z_weighted_t0.50,sea_abrupt4,1,ts_drift_adapt,weighted_t0.50,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87002,0.8223528269797254,0.6614583333333334,29,,,,,,,,,0.0,,,,
I,20260107-160828-06z_weighted_t0.50,sea_abrupt4,2,ts_drift_adapt,weighted_t0.50,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87738,0.8287059669458964,0.69140625,30,,,,,,,,,0.0,,,,
I,20260107-160828-06z_weighted_t0.50,sea_abrupt4,3,ts_drift_adapt,weighted_t0.50,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed3.csv,0.87348,0.8275999966129453,0.65625,30,,,,,,,,,1.0,,,,
I,20260107-160828-06z_weighted_t0.50,sea_abrupt4,4,ts_drift_adapt,weighted_t0.50,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed4.csv,0.86192,0.8195310138758153,0.578125,31,,,,,,,,,0.0,,,,
I,20260107-160828-06z_weighted_t0.50,sea_abrupt4,5,ts_drift_adapt,weighted_t0.50,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed5.csv,0.86718,0.8178414312413556,0.59375,30,,,,,,,,,0.0,,,,
I,20260107-160828-06z_weighted_t0.50,stagger_abrupt3,1,ts_drift_adapt,weighted_t0.50,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed1/20260107-160828-06z_weighted_t0.50/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.92529296875,0.9501181903071461,0.6875,13,,,,,,,,,0.0,,,,
I,20260107-160828-06z_weighted_t0.50,stagger_abrupt3,2,ts_drift_adapt,weighted_t0.50,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed2/20260107-160828-06z_weighted_t0.50/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.9323828125,0.931168219442184,0.109375,11,,,,,,,,,0.0,,,,
I,20260107-160828-06z_weighted_t0.50,stagger_abrupt3,3,ts_drift_adapt,weighted_t0.50,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed3/20260107-160828-06z_weighted_t0.50/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.921953125,0.9324586737032822,0.234375,13,,,,,,,,,0.0,,,,
I,20260107-160828-06z_weighted_t0.50,stagger_abrupt3,4,ts_drift_adapt,weighted_t0.50,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed4/20260107-160828-06z_weighted_t0.50/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.92189453125,0.9421274954840877,0.871875,12,,,,,,,,,0.0,,,,
I,20260107-160828-06z_weighted_t0.50,stagger_abrupt3,5,ts_drift_adapt,weighted_t0.50,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed5/20260107-160828-06z_weighted_t0.50/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.92912109375,0.9491839251122468,0.8125,12,,,,,,,,,0.0,,,,
I,20260107-160956-m7n_two_stage,sea_abrupt4,1,ts_drift_adapt,two_stage,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160956-m7n_two_stage/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87068,0.8216702336359196,0.6614583333333334,31,,,,,,,,,0.0,,,,
I,20260107-160956-m7n_two_stage,sea_abrupt4,2,ts_drift_adapt,two_stage,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160956-m7n_two_stage/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87714,0.8250997537243339,0.515625,31,,,,,,,,,0.0,,,,
I,20260107-160956-m7n_two_stage,sea_abrupt4,3,ts_drift_adapt,two_stage,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160956-m7n_two_stage/sea_abrupt4__ts_drift_adapt__seed3.csv,0.8801,0.8323237739201523,0.53125,29,,,,,,,,,1.0,,,,
I,20260107-160956-m7n_two_stage,sea_abrupt4,4,ts_drift_adapt,two_stage,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160956-m7n_two_stage/sea_abrupt4__ts_drift_adapt__seed4.csv,0.8805,0.8383256071228801,0.46875,30,,,,,,,,,0.0,,,,
I,20260107-160956-m7n_two_stage,sea_abrupt4,5,ts_drift_adapt,two_stage,logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160956-m7n_two_stage/sea_abrupt4__ts_drift_adapt__seed5.csv,0.8726,0.8116229020592527,0.328125,29,,,,,,,,,1.0,,,,
I,20260107-160956-m7n_two_stage,stagger_abrupt3,1,ts_drift_adapt,two_stage,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed1/20260107-160956-m7n_two_stage/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.92185546875,0.9469962325856739,0.8984375,13,,,,,,,,,0.0,,,,
I,20260107-160956-m7n_two_stage,stagger_abrupt3,2,ts_drift_adapt,two_stage,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed2/20260107-160956-m7n_two_stage/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.92810546875,0.9431405392785033,0.75,13,,,,,,,,,0.0,,,,
I,20260107-160956-m7n_two_stage,stagger_abrupt3,3,ts_drift_adapt,two_stage,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed3/20260107-160956-m7n_two_stage/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.93646484375,0.9513027573744215,0.25,11,,,,,,,,,0.0,,,,
I,20260107-160956-m7n_two_stage,stagger_abrupt3,4,ts_drift_adapt,two_stage,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed4/20260107-160956-m7n_two_stage/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.9284765625,0.9532060806079081,0.84375,12,,,,,,,,,0.0,,,,
I,20260107-160956-m7n_two_stage,stagger_abrupt3,5,ts_drift_adapt,two_stage,logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed5/20260107-160956-m7n_two_stage/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.9291015625,0.9444411291596043,0.1875,12,,,,,,,,,0.0,,,,
J,20260108-002201-hoo_theta0.30_w1,sea_abrupt4,1,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260108-002201-hoo_theta0.30_w1/sea_abrupt4__ts_drift_adapt__seed1.csv,0.88698,0.8419934281215348,0.6666666666666666,32,0.0,695.0,1744.5925925925926,2.5102051691979748,0.5,359.0,1744.5925925925926,9.719178788816672,0.5,1098.2,,,
J,20260108-002201-hoo_theta0.30_w1,sea_abrupt4,2,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260108-002201-hoo_theta0.30_w1/sea_abrupt4__ts_drift_adapt__seed2.csv,0.88608,0.8384655155949537,0.7316176470588235,32,0.0,615.0,1756.4444444444443,2.856007226738934,0.5,231.0,1693.7142857142858,14.664192949907235,0.5,1079.0,,,
J,20260108-002201-hoo_theta0.30_w1,sea_abrupt4,3,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260108-002201-hoo_theta0.30_w1/sea_abrupt4__ts_drift_adapt__seed3.csv,0.86838,0.8210706701025634,0.3671875,32,0.0,615.0,1782.5185185185185,2.8984040951520624,0.5,231.0,1718.857142857143,14.881880024737168,0.5,1079.0,,,
J,20260108-002201-hoo_theta0.30_w1,sea_abrupt4,4,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260108-002201-hoo_theta0.30_w1/sea_abrupt4__ts_drift_adapt__seed4.csv,0.85882,0.8185683777625277,0.453125,31,0.0,999.0,1848.6153846153845,1.8504658504658504,0.75,399.0,1657.3793103448277,16.61533143202835,0.75,1479.0,,,
J,20260108-002201-hoo_theta0.30_w1,sea_abrupt4,5,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260108-002201-hoo_theta0.30_w1/sea_abrupt4__ts_drift_adapt__seed5.csv,0.86524,0.8183983173768521,0.5,32,0.0,743.0,1737.4814814814815,2.3384676735955336,0.5,423.0,1617.655172413793,7.648487812831172,0.5,1117.4,,,
J,20260108-002201-hoo_theta0.30_w1,stagger_abrupt3,1,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed1/20260108-002201-hoo_theta0.30_w1/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.922734375,0.9468430632542929,0.890625,16,0.0,47.0,3697.230769230769,78.6644844517185,0.0,47.0,3697.230769230769,78.6644844517185,,59.800000000000004,,,
J,20260108-002201-hoo_theta0.30_w1,stagger_abrupt3,2,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed2/20260108-002201-hoo_theta0.30_w1/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.92595703125,0.9424942250059283,0.734375,15,0.0,79.0,3605.3333333333335,45.63713080168777,0.0,79.0,3605.3333333333335,45.63713080168777,,91.8,,,
