experiment_name,run_id,dataset,seed,model_variant,monitor_preset,trigger_mode,theta,weights,acc_final,mean_acc,acc_min,MDR_win,MTD_win,MTFA_win,MTR_win,MDR_tol,MTD_tol,MTFA_tol,MTR_tol,match_tolerance,min_separation,horizon
trackF_threshold_sweep,20260107-143901-yxe_trackF_theta0.30,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.86334,0.8092906707532306,0.25,0.0,711.0,1861.5384615384614,2.6181975549064154,0.75,255.0,1668.9655172413793,26.179851250845164,500,200,50000
trackF_threshold_sweep,20260107-143901-yxe_trackF_theta0.30,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.88276,0.8284699433655707,0.375,0.0,1143.0,1889.28,1.6529133858267717,0.75,335.0,1749.3333333333333,20.887562189054727,500,200,50000
trackF_threshold_sweep,20260107-143901-yxe_trackF_theta0.30,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.86234,0.8146477167751788,0.6517857142857143,0.0,999.0,1723.4285714285713,1.725153725153725,0.75,399.0,1556.6451612903227,15.60546527609346,500,200,50000
trackF_threshold_sweep,20260107-143901-yxe_trackF_theta0.30,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.86864,0.8264334827094884,0.546875,0.0,631.0,1853.5384615384614,2.9374619041813967,0.5,263.0,1721.142857142857,13.088538837588267,500,200,50000
trackF_threshold_sweep,20260107-143901-yxe_trackF_theta0.30,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.87944,0.8216145918965345,0.46875,0.0,839.0,1797.12,2.141978545887962,0.75,15.0,1604.5714285714287,427.8857142857143,500,200,50000
trackF_threshold_sweep,20260107-143901-yxe_trackF_theta0.30,stagger_abrupt3,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.9308984375,0.9489656479195964,0.515625,0.0,47.0,3490.4615384615386,74.26513911620295,0.0,47.0,3490.4615384615386,74.26513911620295,500,200,60000
trackF_threshold_sweep,20260107-143901-yxe_trackF_theta0.30,stagger_abrupt3,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.9274609375,0.9349136345610102,0.171875,0.0,79.0,4078.5454545454545,51.62715765247411,0.0,79.0,4078.5454545454545,51.62715765247411,500,200,60000
trackF_threshold_sweep,20260107-143901-yxe_trackF_theta0.30,stagger_abrupt3,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.9350390625,0.9440138847577846,0.1875,0.0,47.0,4078.5454545454545,86.77756286266924,0.0,47.0,4486.4,95.45531914893617,500,200,60000
trackF_threshold_sweep,20260107-143901-yxe_trackF_theta0.30,stagger_abrupt3,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.93330078125,0.946338247990948,0.765625,0.0,47.0,3690.6666666666665,78.52482269503545,0.0,47.0,3690.6666666666665,78.52482269503545,500,200,60000
trackF_threshold_sweep,20260107-143901-yxe_trackF_theta0.30,stagger_abrupt3,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.3,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0.93072265625,0.9475073034653981,0.484375,0.0,79.0,3786.6666666666665,47.93248945147679,0.0,79.0,3786.6666666666665,47.93248945147679,500,200,60000
