track,unit,experiment_name,run_id,dataset,seed,model_variant,monitor_preset,mode,trigger_mode,trigger_threshold,confirm_window,weights,two_stage_choice,two_stage_choice_reason,log_path,acc_final,mean_acc,acc_min,drift_flag_count,drift_events_merged,MDR_win,MTD_win,MTFA_win,MTR_win,MDR_tol,MTD_tol,MTFA_tol,MTR_tol,recovery_W,post_mean_acc,post_mean_acc_std,post_min_acc,post_min_acc_std,recovery_time_to_pre90,recovery_time_to_pre90_std
K,sample_idx,trackK_generalization,20260108-003550-d05_weighted,INSECTS_abrupt_balanced,1,ts_drift_adapt,error_divergence_ph_meta,weighted,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed1/20260108-003550-d05_weighted/INSECTS_abrupt_balanced__ts_drift_adapt__seed1.csv,0.22029632713304445,0.2170106473894621,0.17689732142857142,8,8,0.2,5477.5,15018.666666666666,3.4273543283127945,1.0,,6436.571428571428,,1000,0.21038443097459159,0.007340694186704951,0.20952088357870297,0.007502778544068715,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003550-d05_weighted,INSECTS_abrupt_balanced,2,ts_drift_adapt,error_divergence_ph_meta,weighted,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed2/20260108-003550-d05_weighted/INSECTS_abrupt_balanced__ts_drift_adapt__seed2.csv,0.19299108747894866,0.1877740592706323,0.15234375,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18295834942230071,0.0071285449597070115,0.18212821591689873,0.007437897852507956,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003550-d05_weighted,INSECTS_abrupt_balanced,3,ts_drift_adapt,error_divergence_ph_meta,weighted,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed3/20260108-003550-d05_weighted/INSECTS_abrupt_balanced__ts_drift_adapt__seed3.csv,0.19968967017995345,0.19184672612477374,0.1328125,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18749544276807242,0.007337630041513568,0.18689504889190744,0.007278864169824195,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003550-d05_weighted,INSECTS_abrupt_balanced,4,ts_drift_adapt,error_divergence_ph_meta,weighted,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed4/20260108-003550-d05_weighted/INSECTS_abrupt_balanced__ts_drift_adapt__seed4.csv,0.1883739852782561,0.19208873957853093,0.171875,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.1856051586820894,0.002832784770567092,0.1851904684488847,0.0028229546935534798,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003550-d05_weighted,INSECTS_abrupt_balanced,5,ts_drift_adapt,error_divergence_ph_meta,weighted,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed5/20260108-003550-d05_weighted/INSECTS_abrupt_balanced__ts_drift_adapt__seed5.csv,0.19794879557969233,0.19064363231411838,0.12109375,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18569834492964438,0.0037018381283627517,0.18493167184844844,0.0037500528723242795,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003550-d05_weighted,INSECTS_abrupt_balanced,6,ts_drift_adapt,error_divergence_ph_meta,weighted,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed6/20260108-003550-d05_weighted/INSECTS_abrupt_balanced__ts_drift_adapt__seed6.csv,0.19787310537968097,0.20051566980577637,0.16830357142857144,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.19134767637833563,0.005157313965524088,0.19050406093497335,0.0038598646348550693,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003550-d05_weighted,INSECTS_abrupt_balanced,7,ts_drift_adapt,error_divergence_ph_meta,weighted,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed7/20260108-003550-d05_weighted/INSECTS_abrupt_balanced__ts_drift_adapt__seed7.csv,0.20485552633072832,0.20240939039400654,0.16593070652173914,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.19705017802683156,0.004174645648985006,0.19623102094707953,0.004406294169801092,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003550-d05_weighted,INSECTS_abrupt_balanced,8,ts_drift_adapt,error_divergence_ph_meta,weighted,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed8/20260108-003550-d05_weighted/INSECTS_abrupt_balanced__ts_drift_adapt__seed8.csv,0.20674778133101215,0.19281524285288879,0.0625,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.19022676835434046,0.012685613803681708,0.1893314697348886,0.013419056446234635,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003550-d05_weighted,INSECTS_abrupt_balanced,9,ts_drift_adapt,error_divergence_ph_meta,weighted,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed9/20260108-003550-d05_weighted/INSECTS_abrupt_balanced__ts_drift_adapt__seed9.csv,0.20786421178117964,0.202252317568441,0.1721875,8,8,0.4,2337.3333333333335,11328.0,8.077581289218482,0.6,477.0,9062.4,47.496855345911946,1000,0.19323710223909477,0.01137997333124872,0.19249521415790727,0.010947734082831007,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003550-d05_weighted,INSECTS_abrupt_balanced,10,ts_drift_adapt,error_divergence_ph_meta,weighted,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed10/20260108-003550-d05_weighted/INSECTS_abrupt_balanced__ts_drift_adapt__seed10.csv,0.19151512857872727,0.18434696041788304,0.158203125,8,8,0.4,2081.3333333333335,11328.0,9.071108263933377,0.6,221.0,9062.4,102.51583710407239,1000,0.17846179899308096,0.008492699377016442,0.17781245693223552,0.008311554439014258,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003617-cb6_two_stage,INSECTS_abrupt_balanced,1,ts_drift_adapt,error_divergence_ph_meta,two_stage,two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed1/20260108-003617-cb6_two_stage/INSECTS_abrupt_balanced__ts_drift_adapt__seed1.csv,0.19694590042954188,0.1889264236391909,0.15704257246376813,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.1808978464487872,0.008288988008927401,0.17999902195710238,0.008043251452954639,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003617-cb6_two_stage,INSECTS_abrupt_balanced,2,ts_drift_adapt,error_divergence_ph_meta,two_stage,two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed2/20260108-003617-cb6_two_stage/INSECTS_abrupt_balanced__ts_drift_adapt__seed2.csv,0.18771169602815677,0.1929867509215135,0.16155133928571427,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18757128656210997,0.005627631738797704,0.18678747926957398,0.005429680713669354,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003617-cb6_two_stage,INSECTS_abrupt_balanced,3,ts_drift_adapt,error_divergence_ph_meta,two_stage,two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed3/20260108-003617-cb6_two_stage/INSECTS_abrupt_balanced__ts_drift_adapt__seed3.csv,0.19427782087914167,0.18924870261264826,0.16225090579710144,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.182070741177996,0.006635109739198082,0.18160633754076042,0.006635302623553736,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003617-cb6_two_stage,INSECTS_abrupt_balanced,4,ts_drift_adapt,error_divergence_ph_meta,two_stage,two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed4/20260108-003617-cb6_two_stage/INSECTS_abrupt_balanced__ts_drift_adapt__seed4.csv,0.20468522338070277,0.2041057378044587,0.15625,9,9,0.2,5221.5,11200.0,2.6812218711098343,1.0,,5600.0,,1000,0.2027344231715553,0.007456641805368022,0.20194113729578506,0.007890724553688052,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003617-cb6_two_stage,INSECTS_abrupt_balanced,5,ts_drift_adapt,error_divergence_ph_meta,two_stage,two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed5/20260108-003617-cb6_two_stage/INSECTS_abrupt_balanced__ts_drift_adapt__seed5.csv,0.1996139799799421,0.19519323195561075,0.1607223731884058,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18792146445752408,0.006401037431098498,0.18713416153170603,0.006212758874346624,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003617-cb6_two_stage,INSECTS_abrupt_balanced,6,ts_drift_adapt,error_divergence_ph_meta,two_stage,two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed6/20260108-003617-cb6_two_stage/INSECTS_abrupt_balanced__ts_drift_adapt__seed6.csv,0.19393721497909058,0.1907313242804243,0.125,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18623857321022477,0.002619373765061181,0.1853471643877625,0.0019522272781822858,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003617-cb6_two_stage,INSECTS_abrupt_balanced,7,ts_drift_adapt,error_divergence_ph_meta,two_stage,two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed7/20260108-003617-cb6_two_stage/INSECTS_abrupt_balanced__ts_drift_adapt__seed7.csv,0.20909417753136414,0.20580504301965444,0.11328125,9,9,0.2,4325.5,11200.0,3.2366200439255577,1.0,,5600.0,,1000,0.20311868527782415,0.005426249559381238,0.20220101808283114,0.004253372337890205,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003617-cb6_two_stage,INSECTS_abrupt_balanced,8,ts_drift_adapt,error_divergence_ph_meta,two_stage,two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed8/20260108-003617-cb6_two_stage/INSECTS_abrupt_balanced__ts_drift_adapt__seed8.csv,0.2107025942816054,0.21115056895611056,0.17430932971014493,9,9,0.2,5093.5,11200.0,2.7486011583390595,1.0,,5600.0,,1000,0.202982439871493,0.009214210113104698,0.2020661112010261,0.00917548215193552,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003617-cb6_two_stage,INSECTS_abrupt_balanced,9,ts_drift_adapt,error_divergence_ph_meta,two_stage,two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed9/20260108-003617-cb6_two_stage/INSECTS_abrupt_balanced__ts_drift_adapt__seed9.csv,0.19811909852971787,0.19374331928754535,0.16322916666666668,8,8,0.4,2081.3333333333335,11328.0,9.071108263933377,0.6,221.0,9062.4,102.51583710407239,1000,0.18305595331131858,0.011056254092911525,0.18250277346184435,0.010982400347482735,178.4,81.87062965435163
K,sample_idx,trackK_generalization,20260108-003617-cb6_two_stage,INSECTS_abrupt_balanced,10,ts_drift_adapt,error_divergence_ph_meta,two_stage,two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2","theta=0.3,window=1","from TrackJ：miss_mean=0.275, acc_min_mean=0.603",logs/trackK_generalization/INSECTS_abrupt_balanced/ts_drift_adapt/seed10/20260108-003617-cb6_two_stage/INSECTS_abrupt_balanced__ts_drift_adapt__seed10.csv,0.20373909588056086,0.1956054786363087,0.1484375,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18940134060680486,0.003428604606839477,0.18850091577367412,0.0034450115826446305,178.4,81.87062965435163
