step,seen_samples,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,64,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.3125,0.0,0.6666666666666666,0.6034112572669983,0.0032426209654659033,0,0.0,mild_drift,0.97515,0.00115,0.9,0.78,1763560797.4936664,1.0004456043243408,0.3248836398124695
2,128,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.3125,0.006877093986951155,0.5,0.5957019329071045,0.00462177861481905,0,0.0,mild_drift,0.967725,0.001225,0.8500000000000001,0.77,1763560797.5008483,0.7344386577606201,0.34443166851997375
3,192,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.3802083333333333,0.03886925795053006,0.5,0.5733180046081543,0.008332440629601479,0,0.0,mild_drift,0.9640124999999999,0.0012625000000000002,0.8250000000000001,0.765,1763560797.5068884,0.75905442237854,0.3884006142616272
4,256,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.4140625,0.06904577191621412,1.0,0.5978715419769287,0.008393127471208572,0,0.0,mild_drift,0.9621562499999999,0.0012812500000000003,0.8125,0.7625,1763560797.5126646,1.0206103324890137,0.3533661365509033
5,320,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.45,0.10685400742173873,0.6666666666666666,0.6020416021347046,0.01159670203924179,0,0.0,mild_drift,0.9612281249999999,0.001290625,0.80625,0.76125,1763560797.5186543,0.8686639666557312,0.35368508100509644
6,384,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.484375,0.15362009083622769,0.3333333333333333,0.5943026542663574,0.020936738699674606,0,0.0,mild_drift,0.9607640624999999,0.0012953125,0.8031250000000001,0.760625,1763560797.524488,0.7313663959503174,0.4997980296611786
7,448,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.5044642857142857,0.1663788912544214,0.8333333333333334,0.619484543800354,0.02530314400792122,0,0.0,mild_drift,0.9605320312499999,0.0012976562500000002,0.8015625000000001,0.7603125,1763560797.53112,0.8642418384552002,0.6382046341896057
8,512,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.537109375,0.19353466609953213,0.16666666666666666,0.6310796141624451,0.03492986410856247,0,0.0,mild_drift,0.9604160156249999,0.001298828125,0.80078125,0.76015625,1763560797.5379734,0.49568912386894226,0.7395598888397217
9,576,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.5677083333333334,0.22609052254430084,0.16666666666666666,0.6259682178497314,0.029954886063933372,0,0.0,mild_drift,0.9603580078124999,0.0012994140625,0.800390625,0.7600781249999999,1763560797.5449905,0.49886250495910645,0.6623145341873169
10,640,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.584375,0.24504873657416026,0.3333333333333333,0.6301084160804749,0.023079559206962585,0,0.0,mild_drift,0.96032900390625,0.0012997070312500002,0.8001953125000001,0.7600390625,1763560797.552411,0.589623749256134,0.5370441675186157
11,704,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.5852272727272727,0.24263145484555526,0.5,0.6119298338890076,0.015298440121114254,0,0.0,mild_drift,0.960314501953125,0.0012998535156250003,0.8000976562500001,0.76001953125,1763560797.5596159,0.7115597724914551,0.32694530487060547
12,768,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6028645833333334,0.2644786917366895,0.16666666666666666,0.6258131265640259,0.01496111135929823,0,0.0,mild_drift,0.9603072509765624,0.0012999267578125001,0.800048828125,0.760009765625,1763560797.5672894,0.5215542316436768,0.306632936000824
13,832,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6153846153846154,0.2787911950980339,0.5,0.6359133720397949,0.016732092946767807,0,0.0,mild_drift,0.9603036254882812,0.00129996337890625,0.8000244140625,0.7600048828125,1763560797.5747566,0.6742024421691895,0.26420170068740845
14,896,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6227678571428571,0.28814005528498077,0.16666666666666666,0.6344650983810425,0.010511022992432117,0,0.0,mild_drift,0.9603018127441405,0.0012999816894531252,0.8000122070312501,0.7600024414062501,1763560797.5825772,0.6502111554145813,0.2751178443431854
15,960,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.628125,0.2940943843923017,0.3333333333333333,0.633050799369812,0.011428844183683395,0,0.0,mild_drift,0.9603009063720702,0.0012999908447265626,0.8000061035156251,0.760001220703125,1763560797.5901394,0.6985214352607727,0.22602222859859467
16,1024,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6240234375,0.28743393798303896,0.3333333333333333,0.6267461180686951,0.00700939167290926,0,0.0,mild_drift,0.9603004531860351,0.0012999954223632815,0.8000030517578125,0.7600006103515625,1763560797.5979595,0.5983433723449707,0.20904114842414856
17,1088,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6213235294117647,0.2831482523924057,0.16666666666666666,0.6237097382545471,0.011215966194868088,0,0.0,mild_drift,0.9603002265930175,0.0012999977111816407,0.8000015258789063,0.7600003051757813,1763560797.6056201,0.4462535083293915,0.23728695511817932
18,1152,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6189236111111112,0.277105953789945,0.3333333333333333,0.6161625385284424,0.00921951700001955,0,0.0,mild_drift,0.9603001132965088,0.0012999988555908205,0.8000007629394532,0.7600001525878907,1763560797.6136615,0.7042997479438782,0.1618066132068634
19,1216,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6241776315789473,0.2855592753153653,0.5,0.6165136098861694,0.016481894999742508,0,0.0,mild_drift,0.9603000566482544,0.0012999994277954102,0.8000003814697266,0.7600000762939454,1763560797.6215703,0.8487598299980164,0.2599879801273346
20,1280,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.62734375,0.28714202985186155,0.3333333333333333,0.6341302990913391,0.014631686732172966,0,0.0,mild_drift,0.9603000283241272,0.0012999997138977053,0.8000001907348633,0.7600000381469727,1763560797.6293235,0.5521883368492126,0.24911248683929443
21,1344,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6302083333333334,0.28802936699794074,0.0,0.637363076210022,0.015142502263188362,0,0.0,stable,0.9751500141620636,0.0010499998569488526,0.9000000953674316,0.8000000190734864,1763560797.63684,0.3127475678920746,0.3271862268447876
