step,seen_samples,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
22,1408,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6370738636363636,0.29725421556830084,0.3333333333333333,0.6155524849891663,0.01604054495692253,0,0.0,stable,0.9825750070810317,0.0009249999284744264,0.9500000476837158,0.8200000095367432,1763560797.644734,0.5081150531768799,0.17639389634132385
23,1472,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6433423913043478,0.3032690816639318,0.3333333333333333,0.6359871625900269,0.0232937540858984,0,0.0,stable,0.9862875035405159,0.0008624999642372132,0.9750000238418579,0.8300000047683717,1763560797.6524527,0.7507616877555847,0.1686229705810547
24,1536,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6438802083333334,0.30151868343082133,0.6666666666666666,0.603020191192627,0.020110588520765305,0,0.0,stable,0.9881437517702579,0.0008312499821186065,0.987500011920929,0.8350000023841859,1763560797.6603055,0.8519520163536072,0.18530285358428955
25,1600,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.650625,0.31055747409965473,0.16666666666666666,0.6285542249679565,0.0249318927526474,0,0.0,stable,0.9890718758851289,0.0008156249910593032,0.9937500059604645,0.837500001192093,1763560797.6679795,0.4536750316619873,0.22775469720363617
26,1664,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6544471153846154,0.31524496023725973,0.5,0.6053848266601562,0.02278500236570835,0,0.0,stable,0.9895359379425644,0.0008078124955296516,0.9968750029802322,0.8387500005960465,1763560797.6760669,0.8767449259757996,0.16570943593978882
27,1728,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6597222222222222,0.3203321600436672,0.3333333333333333,0.6301704049110413,0.029076211154460907,0,0.0,stable,0.9897679689712822,0.0008039062477648259,0.9984375014901161,0.8393750002980234,1763560797.6837125,0.6717562675476074,0.23703092336654663
28,1792,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6612723214285714,0.3189050826147176,0.16666666666666666,0.6319300532341003,0.032655663788318634,0,0.0,stable,0.9898839844856411,0.000801953123882413,0.9992187507450581,0.8396875001490117,1763560797.6916997,0.36970221996307373,0.26019835472106934
29,1856,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6664870689655172,0.3246600562908691,0.16666666666666666,0.6282145380973816,0.026754038408398628,0,0.0,stable,0.9899419922428205,0.0008009765619412066,0.999609375372529,0.839843750074506,1763560797.6993437,0.45955684781074524,0.2510434091091156
30,1920,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6697916666666667,0.32797752858612944,0.16666666666666666,0.6251991391181946,0.024589790031313896,0,0.0,stable,0.9899709961214103,0.0008004882809706034,0.9998046876862645,0.839921875037253,1763560797.7071106,0.38853976130485535,0.15258657932281494
31,1984,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6754032258064516,0.33599690681788885,0.0,0.6232602596282959,0.023357275873422623,0,0.0,stable,0.9899854980607051,0.0008002441404853016,0.9999023438431323,0.8399609375186265,1763560797.7148068,0.3227725625038147,0.18225127458572388
32,2048,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.67822265625,0.34082361881987955,0.16666666666666666,0.6069086790084839,0.020221378654241562,0,0.0,stable,0.9899927490303526,0.0008001220702426508,0.9999511719215661,0.8399804687593133,1763560797.7225366,0.5115484595298767,0.15012648701667786
33,2112,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6799242424242424,0.3436199215679063,0.16666666666666666,0.6103799343109131,0.013959511183202267,0,0.0,stable,0.9899963745151763,0.0008000610351213255,0.9999755859607831,0.8399902343796567,1763560797.7302477,0.32526466250419617,0.11330276727676392
34,2176,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6824448529411765,0.34707829766242987,0.16666666666666666,0.6224854588508606,0.014345955103635788,0,0.0,stable,0.9899981872575881,0.0008000305175606627,0.9999877929803915,0.8399951171898283,1763560797.7378976,0.4435971677303314,0.15845824778079987
35,2240,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6861607142857142,0.3549296236215569,0.3333333333333333,0.603117048740387,0.012178934179246426,0,0.0,stable,0.9899990936287941,0.0008000152587803314,0.9999938964901958,0.8399975585949142,1763560797.7458093,0.9857857823371887,0.12222406268119812
36,2304,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6883680555555556,0.35853879465448996,0.5,0.6196881532669067,0.01155934575945139,0,0.0,stable,0.9899995468143971,0.0008000076293901658,0.9999969482450979,0.8399987792974571,1763560797.7537858,0.6237135529518127,0.08136413991451263
37,2368,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6900337837837838,0.3603914240567118,0.3333333333333333,0.6242265105247498,0.01128501445055008,0,0.0,stable,0.9899997734071986,0.000800003814695083,0.9999984741225489,0.8399993896487286,1763560797.761685,0.6887138485908508,0.08891059458255768
38,2432,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6912006578947368,0.362589132656195,0.0,0.6336212754249573,0.008781819604337215,0,0.0,stable,0.9899998867035993,0.0008000019073475416,0.9999992370612745,0.8399996948243643,1763560797.7694633,0.28819575905799866,0.11570974439382553
39,2496,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6927083333333334,0.366191251837432,0.16666666666666666,0.6130208373069763,0.011276301927864552,0,0.0,stable,0.9899999433517996,0.0008000009536737707,0.9999996185306372,0.8399998474121821,1763560797.7773066,0.3398112952709198,0.10387828201055527
40,2560,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.694140625,0.3689022662443564,0.3333333333333333,0.6091577410697937,0.009293279610574245,0,0.0,stable,0.9899999716758998,0.0008000004768368854,0.9999998092653186,0.8399999237060911,1763560797.7873352,0.46953991055488586,0.09570597112178802
41,2624,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6939786585365854,0.3691370976627433,0.16666666666666666,0.6297398805618286,0.009025258012115955,0,0.0,stable,0.9899999858379499,0.0008000002384184427,0.9999999046326593,0.8399999618530456,1763560797.7949855,0.32389500737190247,0.07625222206115723
42,2688,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6934523809523809,0.36815584320741973,0.6666666666666666,0.6093910336494446,0.009124483913183212,0,0.0,stable,0.9899999929189749,0.0008000001192092214,0.9999999523163297,0.8399999809265228,1763560797.8028486,0.8038502335548401,0.07144578546285629
43,2752,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6936773255813954,0.36731318861132334,0.5,0.6387261152267456,0.008698553778231144,0,0.0,stable,0.9899999964594874,0.0008000000596046107,0.9999999761581648,0.8399999904632615,1763560797.8104913,0.9352741241455078,0.09012302756309509
44,2816,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6974431818181818,0.3753184292144614,0.0,0.5969151258468628,0.0074329013004899025,0,0.0,stable,0.9899999982297437,0.0008000000298023053,0.9999999880790824,0.8399999952316308,1763560797.818283,0.2952740490436554,0.09511902928352356
45,2880,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6958333333333333,0.37217677635390295,0.6666666666666666,0.608504593372345,0.008394144475460052,0,0.0,stable,0.9899999991148718,0.0008000000149011527,0.9999999940395412,0.8399999976158155,1763560797.8261948,0.7904632687568665,0.07678063213825226
46,2944,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6976902173913043,0.375917309805741,0.3333333333333333,0.618507444858551,0.007919646799564362,0,0.0,stable,0.9899999995574359,0.0008000000074505763,0.9999999970197706,0.8399999988079078,1763560797.8340657,0.6021813750267029,0.09668571501970291
47,3008,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6988031914893617,0.3792080737064669,0.3333333333333333,0.6018718481063843,0.009723855182528496,0,0.0,stable,0.9899999997787179,0.0008000000037252882,0.9999999985098853,0.839999999403954,1763560797.8416963,0.48065081238746643,0.09668545424938202
48,3072,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7001953125,0.38102509667544965,0.5,0.6188821196556091,0.0077205500565469265,0,0.0,stable,0.9899999998893589,0.0008000000018626441,0.9999999992549427,0.839999999701977,1763560797.84957,0.6382616758346558,0.06270842254161835
49,3136,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.6996173469387755,0.3788529526915843,0.0,0.6198941469192505,0.008205730468034744,0,0.0,stable,0.9899999999446795,0.000800000000931322,0.9999999996274713,0.8399999998509886,1763560797.8573484,0.3522833585739136,0.07371363043785095
50,3200,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7021875,0.3836487444591848,0.16666666666666666,0.6057122349739075,0.009490330703556538,0,0.0,stable,0.9899999999723397,0.0008000000004656611,0.9999999998137357,0.8399999999254943,1763560797.8653357,0.7868350148200989,0.06487959623336792
51,3264,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7022058823529411,0.3827670937053142,0.5,0.609123170375824,0.010185369290411472,0,0.0,stable,0.9899999999861698,0.0008000000002328306,0.9999999999068678,0.8399999999627472,1763560797.8731318,0.58924800157547,0.10400524735450745
52,3328,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7043269230769231,0.38642814932340863,0.3333333333333333,0.5833336114883423,0.009868246503174305,0,0.0,stable,0.9899999999930849,0.0008000000001164153,0.9999999999534339,0.8399999999813736,1763560797.880763,0.542567789554596,0.1477307230234146
53,3392,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7048938679245284,0.38695755166656076,0.16666666666666666,0.5953779816627502,0.011071103624999523,0,0.0,stable,0.9899999999965424,0.0008000000000582077,0.999999999976717,0.8399999999906869,1763560797.8885555,0.3550335466861725,0.14699195325374603
54,3456,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7068865740740741,0.3887741640821577,0.16666666666666666,0.6218283176422119,0.01952541060745716,0,0.0,stable,0.9899999999982712,0.0008000000000291038,0.9999999999883584,0.8399999999953435,1763560797.896162,0.3937513828277588,0.10346899926662445
55,3520,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7105113636363637,0.3942263976831552,0.16666666666666666,0.6141097545623779,0.015683582052588463,0,0.0,stable,0.9899999999991356,0.0008000000000145519,0.9999999999941792,0.8399999999976717,1763560797.9039466,0.44235071539878845,0.1683787703514099
56,3584,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7126116071428571,0.3963644379065707,0.0,0.6029176115989685,0.018033640459179878,0,0.0,stable,0.9899999999995678,0.000800000000007276,0.9999999999970897,0.8399999999988359,1763560797.9117382,0.2847188413143158,0.2992950677871704
57,3648,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7154605263157895,0.4012932212136851,0.16666666666666666,0.5643840432167053,0.01423107273876667,0,0.0,stable,0.9899999999997839,0.0008000000000036381,0.9999999999985448,0.839999999999418,1763560797.9194367,0.48823773860931396,0.15910620987415314
58,3712,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7174030172413793,0.40408417621985687,0.3333333333333333,0.6031036972999573,0.01185518130660057,0,0.0,stable,0.989999999999892,0.000800000000001819,0.9999999999992724,0.839999999999709,1763560797.9269903,0.5774092078208923,0.1044422909617424
59,3776,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7195444915254238,0.4069609548933778,0.0,0.6252622008323669,0.010816921480000019,0,0.0,stable,0.989999999999946,0.0008000000000009096,0.9999999999996362,0.8399999999998545,1763560797.9349563,0.32063066959381104,0.10395902395248413
60,3840,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7213541666666666,0.40988765632849805,0.3333333333333333,0.5984522104263306,0.015235884115099907,0,0.0,stable,0.989999999999973,0.0008000000000004549,0.9999999999998181,0.8399999999999272,1763560797.9429414,0.46227526664733887,0.1581375002861023
61,3904,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7236168032786885,0.4138095720508849,0.0,0.5922277569770813,0.015529701486229897,0,0.0,stable,0.9899999999999864,0.0008000000000002274,0.9999999999999091,0.8399999999999637,1763560797.9507608,0.3154478967189789,0.14666834473609924
62,3968,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7247983870967742,0.4146276618020915,0.16666666666666666,0.628451943397522,0.015890873968601227,0,0.0,stable,0.9899999999999932,0.0008000000000001138,0.9999999999999545,0.8399999999999819,1763560797.9586763,0.37478578090667725,0.21655374765396118
63,4032,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7266865079365079,0.41732025732378236,0.0,0.6026377081871033,0.015245544724166393,0,0.0,stable,0.9899999999999967,0.000800000000000057,0.9999999999999772,0.839999999999991,1763560797.9667726,0.348330020904541,0.1291181743144989
64,4096,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.727783203125,0.41866290839623144,0.16666666666666666,0.600889265537262,0.014618108980357647,0,0.0,stable,0.9899999999999983,0.0008000000000000286,0.9999999999999887,0.8399999999999955,1763560797.9747515,0.48742762207984924,0.12155236303806305
65,4160,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7298076923076923,0.4218793273986152,0.16666666666666666,0.6017854809761047,0.014280571602284908,0,0.0,stable,0.9899999999999991,0.0008000000000000142,0.9999999999999943,0.8399999999999979,1763560797.9827554,0.35559871792793274,0.13119715452194214
66,4224,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7301136363636364,0.4217734126435191,0.3333333333333333,0.6085886359214783,0.011316092684864998,0,0.0,stable,0.9899999999999995,0.0008000000000000071,0.9999999999999971,0.839999999999999,1763560797.990562,1.0858596563339233,0.07291916757822037
67,4288,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7308768656716418,0.42359576109767144,0.3333333333333333,0.5852229595184326,0.014547719620168209,0,0.0,stable,0.9899999999999998,0.0008000000000000036,0.9999999999999986,0.8399999999999995,1763560797.998388,0.8675474524497986,0.12152805924415588
68,4352,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7311580882352942,0.424047952568655,0.5,0.5908170342445374,0.010366427712142467,0,0.0,stable,0.9899999999999999,0.0008000000000000019,0.9999999999999993,0.8399999999999999,1763560798.0058963,0.8562869429588318,0.0798407793045044
69,4416,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7321105072463768,0.42520498026116,0.16666666666666666,0.5883650183677673,0.014398153871297836,0,0.0,stable,0.99,0.000800000000000001,0.9999999999999997,0.84,1763560798.0136123,0.8166303634643555,0.10122889280319214
70,4480,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7337053571428571,0.4279674168843284,0.16666666666666666,0.5712655782699585,0.013480139896273613,0,0.0,stable,0.99,0.0008000000000000006,0.9999999999999998,0.8400000000000001,1763560798.0214376,0.4483722150325775,0.09957434237003326
71,4544,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.734375,0.4287533121135868,0.16666666666666666,0.6072103977203369,0.010299351997673512,0,0.0,stable,0.99,0.0008000000000000004,0.9999999999999999,0.8400000000000001,1763560798.0292306,0.32656311988830566,0.0661497488617897
72,4608,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7350260416666666,0.43017797215771986,0.16666666666666666,0.5963600277900696,0.011364763602614403,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.0373967,0.4626862108707428,0.13616110384464264
73,4672,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7345890410958904,0.42932446827687964,0.16666666666666666,0.57886803150177,0.011925299651920795,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.0451806,0.5347561836242676,0.1157284677028656
74,4736,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7350084459459459,0.4293618724082763,0.3333333333333333,0.6002705097198486,0.014116141013801098,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.0533082,0.5965620875358582,0.10078269988298416
75,4800,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7347916666666666,0.42843951190620055,0.16666666666666666,0.6072502136230469,0.016597067937254906,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.0610485,0.5960010290145874,0.20457002520561218
76,4864,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.734375,0.42672025303430244,0.3333333333333333,0.615175187587738,0.015601309947669506,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.0693412,0.5646064281463623,0.08909302949905396
77,4928,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.734577922077922,0.42761828716267086,0.16666666666666666,0.588270902633667,0.012630625627934933,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.076965,0.40462541580200195,0.1423564851284027
78,4992,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7357772435897436,0.42927337158952505,0.16666666666666666,0.6199846863746643,0.013792823068797588,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.0849133,0.3764292299747467,0.10996595025062561
79,5056,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7365506329113924,0.4304438950288907,0.0,0.6008439064025879,0.010839960537850857,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.0929213,0.32996276021003723,0.11478947103023529
80,5120,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.73671875,0.4306275293490283,0.16666666666666666,0.6000291705131531,0.011959260329604149,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.1007555,0.46343231201171875,0.14301052689552307
81,5184,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.738233024691358,0.4341146731603849,0.16666666666666666,0.598455011844635,0.009518600068986416,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.1084576,0.23976559937000275,0.09522400796413422
82,5248,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7389481707317073,0.4354847447811217,0.5,0.585638165473938,0.008755411952733994,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.1161525,0.911017894744873,0.09860216081142426
83,5312,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7387048192771084,0.4360375178679825,0.3333333333333333,0.5726500153541565,0.007805414963513613,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.123983,0.6599160432815552,0.06598810851573944
84,5376,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7386532738095238,0.4360333340998955,0.5,0.5930841565132141,0.009499914944171906,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.1315618,0.6777098774909973,0.09128685295581818
85,5440,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7378676470588236,0.435191027407663,0.3333333333333333,0.5804299712181091,0.006860713940113783,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.139447,0.5635042786598206,0.05217822641134262
86,5504,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7381904069767442,0.4366233359596377,0.3333333333333333,0.5678622126579285,0.005360667128115892,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.1471775,0.6679120063781738,0.04863769933581352
87,5568,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7392241379310345,0.4392938242075684,0.16666666666666666,0.5790371298789978,0.005910872481763363,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.1549425,0.5764788389205933,0.06565922498703003
88,5632,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7379261363636364,0.43703960143792453,0.3333333333333333,0.5742787718772888,0.005181889049708843,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.1628108,0.6100074648857117,0.0721006840467453
89,5696,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7391151685393258,0.44038006459236245,0.3333333333333333,0.5427436232566833,0.006863889284431934,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.1707125,0.5669213533401489,0.09447592496871948
90,5760,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7388888888888889,0.44041178474550075,0.16666666666666666,0.5673046708106995,0.008085963316261768,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.178236,0.4288445711135864,0.08561623096466064
91,5824,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7388392857142857,0.4408444032831621,0.3333333333333333,0.591134250164032,0.005447045899927616,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.186221,0.4836777150630951,0.0849200189113617
92,5888,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7398097826086957,0.44328612428119646,0.0,0.5818330645561218,0.007564791012555361,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.193761,0.27906033396720886,0.10826374590396881
93,5952,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7405913978494624,0.4448016123302668,0.3333333333333333,0.5910207033157349,0.00694171991199255,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.2016716,0.6077691316604614,0.05754672735929489
94,6016,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.7410239361702128,0.44605649238834516,0.3333333333333333,0.580159068107605,0.005086997989565134,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.2094066,0.6684495806694031,0.09453828632831573
95,6080,sea_abrupt4,sea_saved,ts_drift_adapt,42,0.740625,0.4455898413955452,0.3333333333333333,0.5493683218955994,0.005258043296635151,0,0.0,stable,0.99,0.0008000000000000001,1.0,0.8400000000000001,1763560798.2171226,0.5265148282051086,0.05524095147848129
